,full_name,name,symbol,Name_197,fuzz_socre1,fuzz_socre2
3883,Acorda Therapeutics Inc,Acorda,ACOR,ACORDA THERAPEUTICS INC,100,41
17449,Acorn Capital Invest Fund,Acorn Capital Invest Fund,ACQ,ACORN CAPITAL INVESTMENT FUN,91,91
3877,Acorn Energy Inc,Acorn,ACFN,ACORN ENERGY INC,100,48
5290,Acorn International Inc,Acorn,ATV,ACORN INTERNATIONAL INC-ADR,92,31
28874,Acrodea Inc,Acrodea,3823,ACRODEA INC,100,78
14572,Actic Group AB,Actic Group,ATIC,ACTIC GROUP AB,100,88
5081,Actinium Pharmaceuticals Inc,Actinium Pharmaceuticals,ATNM,ACTINIUM PHARMACEUTICALS INC,100,92
17450,Actinogen Medical Ltd,Actinogen Medical,ACW,ACTINOGEN MEDICAL LTD,100,89
28055,Activia Properties Inc,Activia Properties,3279,ACTIVIA PROPERTIES INC,100,90
2745,Activision Blizzard Inc,Activision Blizzard,ATVI,ACTIVISION BLIZZARD INC,100,90
5460,Acuity Brands Inc,Acuity Brands,AYI,ACUITY BRANDS INC,100,87
3886,Acura Pharmaceuticals Inc,Acura Pharma,ACUR,ACURA PHARMACEUTICALS INC,100,65
17905,Adairs Ltd,Adairs Ltd,ADH,ADAIRS LTD,100,100
6595,Adamas Pharma,Adamas Pharmaceuticals Inc,ADMS,ADAMAS PHARMACEUTICALS INC,67,100
6621,Adaptimmune Therapeutics Plc,Adaptimmune Therapeutics,ADAP,ADAPTIMMUNE THERAPEUTICS-ADR,89,92
8231,Addiko Bank AG,Addiko Bank,ADKO,ADDIKO BANK AG,100,88
25473,Adeka Corp,Adeka Corp,4401,ADEKA CORP,100,100
6776,Adesto Technologies Corp,Adesto Technologies Corp,IOTS,ADESTO TECHNOLOGIES CORP,100,100
1094,Adex Mining Inc,Adex Mining Inc,ADE,ADEX MINING INC,100,100
1498,ADF Group Inc.,ADF Group Inc.,DRX,ADF GROUP INC,100,100
2840,adidas AG,Adidas,ADSN,ADIDAS AG,100,80
7591,Adient PLC,Adient,ADNT,ADIENT PLC,100,75
8064,ADO Properties SA,ADO Properties SARL,ADJ,ADO PROPERTIES SA,100,94
10782,ADO Properties SARL,ADO Properties SARL,ADJ,ADO PROPERTIES SA,94,94
3790,Adtalem Global Education Inc,Adtalem Education,ATGE,ADTALEM GLOBAL EDUCATION INC,100,76
28673,Adtec Plasma Technology Co Ltd,Adtec Plasma Tech,6668,ADTEC PLASMA TECHNOLOGY CO,93,79
3834,ADTRAN Inc,ADTRAN,ADTN,ADTRAN INC,100,75
6618,Aduro Biotech Inc,Aduro Biotech Inc,ADRO,ADURO BIOTECH INC,100,100
14828,Adval Tech Holding AG,Adval Tech Holding AG,ADVN,ADVAL TECH HOLDING AG-REG,91,91
4819,Advance Auto Parts Inc,Advance Auto Parts,AAP,ADVANCE AUTO PARTS INC,100,90
28332,Advanced Media Inc,Advanced Media,3773,ADVANCED MEDIA INC,100,88
2846,Advanced Micro Devices Inc,AMD,AMD,ADVANCED MICRO DEVICES,92,16
27349,Advanex Inc,Advanex Inc,5998,ADVANEX INC,100,100
6234,AdvanSix Inc,AdvanSix,ASIX,ADVANSIX INC,100,80
27639,Advantage Risk Management Co Ltd,Advantage Risk Management,8769,ADVANTAGE RISK MANAGEMENT CO,93,94
25359,Advantest Corp.,Advantest Corp.,6857,ADVANTEST CORP,100,100
28199,Adventure Inc,Adventure,6030,ADVENTURE INC,100,82
6602,Adverum Biotechnologies Inc,Adverum Biotechn,ADVM,ADVERUM BIOTECHNOLOGIES INC,100,74
9699,Advicenne,Advicenne,ADVIC,ADVICENNE,100,100
49207,AdvisorShares New Tech and Media,AdvisorShares New Tech and Media,FNG,ADVSRSHRS NEW TECH AND MEDIA,93,93
28240,Adways Inc,Adways,2489,ADWAYS INC,100,75
3891,Aegion Corp,Aegion,AEGN,AEGION CORP,100,71
7088,Aemetis Inc,Aemetis Inc,AMTX,AEMETIS INC,100,100
18710,Aeolus Tyre Co Ltd,Aeolus Tyre,600469,AEOLUS TYRE CO LTD-A,95,71
25615,Aeon Financial Service Co Ltd,Aeon Financial Service Co Ltd,8570,AEON FINANCIAL SERVICE CO LT,98,98
3888,Aeon Global Health Corp,Aeon Global,AGHC,AEON GLOBAL HEALTH CORP,100,65
25627,Aeon Mall Co Ltd,Aeon Mall Co Ltd,8905,AEON MALL CO LTD,100,100
17500,Aeon Metals Ltd,Aeon Metals Ltd,AML,AEON METALS LTD,100,100
5437,AerCap Holdings NV,AerCap Holdings NV,AER,AERCAP HOLDINGS NV,100,100
17458,Aeris Environmental Ltd,Aeris Environmental Ltd,AEI,AERIS ENVIRONMENTAL LTD,100,100
4936,AeroCentury Corp,AeroCentury,ACY,AEROCENTURY CORP,100,81
5607,Aerojet Rocketdyne Holdings Inc,Aerojet Rocketdyne,AJRD,AEROJET ROCKETDYNE HOLDINGS,93,80
18871,Aerospace Communications Holdings Co Ltd,Aerospace Communications,600677,AEROSPACE COMMUNICATIONS -A,73,96
18726,Aerosun Corp,Aerosun Corp,600501,AEROSUN CORP-A,92,92
3987,AeroVironment Inc,AeroVironment,AVAV,AEROVIRONMENT INC,100,87
1096,Aeterna Zentaris Inc,Aeterna Zentaris,AEZS,AETERNA ZENTARIS INC,100,89
3896,AEterna Zentaris Inc,Aeterna Zentaris,AEZS,AETERNA ZENTARIS INC,100,89
14830,Aevis Victoria SA,Aevis Victoria,AEVS,AEVIS VICTORIA SA,100,90
37914,Afcon Holdings Ltd,Afcon Holdings,AFHL,AFCON HOLDINGS LTD,100,88
4784,Affiliated Managers Group Inc,Affiliated Managers,AMG,AFFILIATED MANAGERS GROUP,93,86
1788,Affinity Metals Corp,Affinity Metals,AFF,AFFINITY METALS CORP,100,86
3648,Aflac Inc,Aflac,AFL,AFLAC INC,100,71
37915,Africa Israel Residences Ltd,Africa Israel Residences,AFRE,AFRICA ISRAEL RESIDENCES LTD,100,92
17292,African Energy Resources Ltd,African Energy Resources,AFR,AFRICAN ENERGY RESOURCES-CDI,86,92
5138,AG Mortgage Investment Trust Inc,AG Mortgage Investment,MITT,AG MORTGAGE INVESTMENT TRUST,93,88
10376,AGCO Corp,AGCO,AGCO,AGCO CORP,100,62
3898,Agenus Inc,Agenus,AGEN,AGENUS INC,100,75
21825,Agile Group Holdings Ltd,Agile Group,3383,AGILE GROUP HOLDINGS LTD,100,63
3726,Agilent Technologies Inc,Agilent Technologies,A,AGILENT TECHNOLOGIES INC,100,91
3901,Agilysys Inc,Agilysys,AGYS,AGILYSYS INC,100,80
1500,AgJunction Inc.,AgJunction Inc.,AJX,AGJUNCTION INC,100,100
16848,AGL Energy Ltd,AGL Energy,AGL,AGL ENERGY LTD,100,83
902,Agnico-Eagle Mines Ltd.,Agnico Eagle Mines,AEM,AGNICO EAGLE MINES LTD,100,90
3815,Agnico Eagle Mines Limited,Agnico Eagle Mines,AEM,AGNICO EAGLE MINES LTD,92,90
10682,Agnico Eagle Mines Ltd,Agnico Eagle Mines,AEM,AGNICO EAGLE MINES LTD,100,90
27531,Agora Hospitality Group Co Ltd,Agora Hospitality Group,9704,AGORA HOSPITALITY GROUP CO L,97,90
27780,Agratio Urban Design Inc,Agratio Urban Design,3467,AGRATIO URBAN DESIGN INC,100,91
21752,Agricultural Bank Of China,Agricultural Bank Of China,1288,AGRICULTURAL BANK OF CHINA-H,96,96
22714,Agritrade Resources Ltd,Agritrade,1131,AGRITRADE RESOURCES LTD,100,56
26141,Agro-Kanesho Co Ltd,Agro Kanesho Co Ltd,4955,AGRO-KANESHO CO LTD,100,100
7109,AgroFresh Solutions Inc,AgroFresh Solutions,AGFS,AGROFRESH SOLUTIONS INC,100,90
22190,AGTech Holdings Ltd,AGTech,8279,AGTECH HOLDINGS LTD,100,48
17812,Ahalife Holdings Ltd,Ahalife Holdings,AHL,AHALIFE HOLDINGS LTD,100,89
27907,Ahresty Corp,Ahresty Corp,5852,AHRESTY CORP,100,100
25876,Ai Holdings Corp,Ai Holdings Corp,3076,AI HOLDINGS CORP,100,100
21766,AIA Group Ltd,AIA Group,1299,AIA GROUP LTD,100,82
25505,Aichi Steel Corp,Aichi Steel Corp,5482,AICHI STEEL CORP,100,100
26986,Aida Engineering Ltd,Aida Engineering,6118,AIDA ENGINEERING LTD,100,89
27190,Aiful Corp,Aiful,8515,AIFUL CORP,100,67
27844,Aigan Co Ltd,Aigan Co Ltd,9854,AIGAN CO LTD,100,100
6627,Aimmune Therapeutics Inc,Aimmune Therapeutics Inc,AIMT,AIMMUNE THERAPEUTICS INC,100,100
14364,Aino Health AB,Aino Health,AINO,AINO HEALTH AB,100,88
17293,Ainsworth Game Technology Ltd,Ainsworth Game Technology,AGI,AINSWORTH GAME TECHNOLOGY LT,98,94
27380,Aiphone Co Ltd,Aiphone Co Ltd,6718,AIPHONE CO LTD,100,100
1092,Air Canada,Air Canada,AC,AIR CANADA,100,100
11544,Air France KLM SA,Air France KLM,AF,AIR FRANCE-KLM,90,100
3653,Air Products and Chemicals Inc,Air Products,APD,AIR PRODUCTS & CHEMICALS INC,93,63
1501,AirBoss of America Corp.,AirBoss of America Corp.,BOS,AIRBOSS OF AMERICA CORP,100,100
26627,Airex Inc,Airex,6944,AIREX INC,100,71
7516,Airgain Inc,Airgain,AIRG,AIRGAIN INC,100,78
3836,Airnet Technology Inc,Airnet Tech,ANTE,AIRNET TECHNOLOGY INC-ADR,91,61
37574,Airport City Ltd,Airport City,ARPT,AIRPORT CITY LTD,100,86
27767,Airport Facilities Co Ltd,Airport Facilities,8864,AIRPORT FACILITIES CO LTD,100,84
27703,Airtech Japan Ltd,Airtech Japan Ltd,6291,AIRTECH JAPAN LTD,100,100
27260,Aisan Industry Co Ltd,Aisan Industry,7283,AISAN INDUSTRY CO LTD,100,80
26465,Aisan Technology Co Ltd,Aisan Tech,4667,AISAN TECHNOLOGY CO LTD,100,61
25569,Aisin Seiki Ltd,Aisin Seiki Ltd,7259,AISIN SEIKI CO LTD,91,91
18557,Aisino Corp,Aisino Corp,600271,AISINO CORP-A,92,92
27939,AIT Corp,AIT Corp,9381,AIT CORP,100,100
27447,Aizawa Securities Co Ltd,Aizawa Securities,8708,AIZAWA SECURITIES CO LTD,100,83
25278,"Ajinomoto Co., Inc.","Ajinomoto Co., Inc.",2802,AJINOMOTO CO INC,100,100
21909,Ajisen China Holdings Ltd,Ajisen China Holdings,0538,AJISEN CHINA HOLDINGS LTD,100,91
2843,AK Steel Holding Corp,AK Steel,AKS,AK STEEL HOLDING CORP,100,55
3365,Akamai Technologies Inc,Akamai,AKAM,AKAMAI TECHNOLOGIES INC,100,41
26225,Akatsuki Eazima Co Ltd,Akatsuki Eazima,1997,AKATSUKI EAZIMA CO LTD,100,81
6658,Akcea Therapeutics Inc,Akcea Therapeutics,AKCA,AKCEA THERAPEUTICS INC,100,90
27253,Akebono Brake Industry Co Ltd,Akebono Brake Industry,7238,AKEBONO BRAKE INDUSTRY CO,93,94
6813,Akerna Corp,Akerna,KERN,AKERNA CORP,100,71
26192,Akikawa Foods & Farms Co Ltd,Akikawa Foods & Farms,1380,AKIKAWA FOODS & FARMS CO LTD,100,84
7174,Akoustis Technologies Inc,Akoustis Tech,AKTS,AKOUSTIS TECHNOLOGIES INC,100,68
911,Alacer Gold Corp,Alacer Gold,ASR,ALACER GOLD CORP,100,81
5527,Alamo Group Inc,Alamo,ALG,ALAMO GROUP INC,100,50
17514,Alara Resources Ltd,Alara Resources Ltd,AUQ,ALARA RESOURCES LTD,100,100
1469,Alaris Royalty Corp.,Alaris Royalty,AD,ALARIS ROYALTY CORP,100,85
6772,Alarm.com Holdings Inc,Alarm.com Holdings,ALRM,ALARM.COM HOLDINGS INC,100,90
4843,Alaska Air Group Inc,Alaska Air,ALK,ALASKA AIR GROUP INC,100,67
10304,Alaska Air Group Inc SG,Alaska Air,ALK,ALASKA AIR GROUP INC,93,67
16419,Alba Mineral Resources,Alba Mineral,ALBA,ALBA MINERAL RESOURCES PLC,92,63
3117,Albemarle Corp,Albemarle,ALB,ALBEMARLE CORP,100,78
28184,Albert Inc,Albert,3906,ALBERT INC,100,75
7454,Alberton Acquisition Corp,Alberton Acquisition,ALAC,ALBERTON ACQUISITION CORP,100,89
7454,Alberton Acquisition Corp,Alberton Acquisition,ALAC,ALBERTON ACQUISITION CORP,100,89
4023,Albireo Pharma Inc,Albireo Pharma,ALBO,ALBIREO PHARMA INC,100,88
17482,Alchemy Resources Ltd,Alchemy Resources Ltd,ALY,ALCHEMY RESOURCES LTD,100,100
22629,Alco Holdings Ltd,Alco,0328,ALCO HOLDINGS LTD.,100,38
3266,Alcoa Corp,Alcoa,AA,ALCOA CORP,100,67
25872,Alconix Corp,Alconix Corp,3036,ALCONIX CORP,100,100
1432,Alderon Iron Ore Corp,Alderon Iron Ore,IRON,ALDERON IRON ORE CORP,100,86
1432,Alderon Iron Ore Corp,Alderon Iron Ore,IRON,ALDERON IRON ORE CORP,100,86
16973,ALE Property Group,ALE Property Group,LEP,ALE PROPERTY GROUP,100,100
14281,Alelion Energy Systems AB,Alelion Energy Systems,ALELIO,ALELION ENERGY SYSTEMS AB,100,94
7485,Alerus Financial Corp,Alerus Fin,ALRS,ALERUS FINANCIAL CORP,100,65
1124,Alexco Resource Corp,Alexco Resource,AXU,ALEXCO RESOURCE CORP,100,86
3783,Alexion Pharmaceuticals Inc,Alexion,ALXN,ALEXION PHARMACEUTICALS INC,100,41
17476,Alexium International Group,Alexium International Group,AJX,ALEXIUM INTERNATIONAL GROUP,100,100
13747,Alfa Laval AB,Alfa Laval AB,ALFA,ALFA LAVAL AB,100,100
25434,Alfresa Holdings Corp,Alfresa Holdings Corp,2784,ALFRESA HOLDINGS CORP,100,100
908,Algonquin Power & Utilities Corp,Algonquin Power,AQN,ALGONQUIN POWER & UTILITIES,91,75
22213,Alibaba Health Information Technology Ltd,Alibaba Health Information Tech,0241,ALIBABA HEALTH INFORMATION T,81,95
22220,Alibaba Pictures Group Ltd,Alibaba Pictures,1060,ALIBABA PICTURES GROUP LTD,100,76
3906,Alico Inc,Alico,ALCO,ALICO INC,100,71
3907,Align Technology Inc,Align,ALGN,ALIGN TECHNOLOGY INC,100,40
1456,Alio Gold Inc,Alio Gold,ALO,ALIO GOLD INC,100,82
4289,Alithya Group inc Class A,Alithya A,ALYA,ALITHYA GROUP INC-CLASS A,100,53
7093,ALJ Regional Holdings Inc,ALJ Regional,ALJJ,ALJ REGIONAL HOLDINGS INC,100,65
3910,Alkermes Plc,Alkermes Plc,ALKS,ALKERMES PLC,100,100
22825,Allahabad Bank,Allahabad Bank,ALBK,ALLAHABAD BANK,100,100
6686,Allakos Inc,Allakos,ALLK,ALLAKOS INC,100,78
3485,Allegheny Technologies Incorporated,Allegheny Technologies,ATI,ALLEGHENY TECHNOLOGIES INC,85,92
10430,Allegheny Technologies Inc,Allegheny Technologies,ATI,ALLEGHENY TECHNOLOGIES INC,100,92
6485,Allegiance Bancshares Inc,Allegiance Bancshares Inc,ABTX,ALLEGIANCE BANCSHARES INC,100,100
4866,Allegion PLC,Allegion PLC,ALLE,ALLEGION PLC,100,100
3410,Allergan PLC,Allergan,AGN,ALLERGAN PLC,100,80
2571,Allergan PLC,Allergan,AGNN,ALLERGAN PLC,100,80
16456,Allergy Therapeutics,Allergy Therapeutics,AGY,ALLERGY THERAPEUTICS PLC,91,91
5625,Allete Inc,Allete,ALE,ALLETE INC,100,75
17323,Alliance Aviation Services Ltd,Alliance Aviation,AQZ,ALLIANCE AVIATION SERVICES L,97,76
4818,Alliance Data Systems Corp,Alliance Data Systems,ADS,ALLIANCE DATA SYSTEMS CORP,100,89
3951,Alliance Resource Partners LP,Alliance Resource,ARLP,ALLIANCE RESOURCE PARTNERS,95,79
16868,Alliance Resources Ltd,Alliance Resources,AGS,ALLIANCE RESOURCES LTD,100,90
15980,Alliance Trust PLC,Alliance Trust,ATST,ALLIANCE TRUST PLC,100,88
4840,Alliant Energy Corp,Alliant Energy,LNT,ALLIANT ENERGY CORP,100,85
16464,Allianz Technology Trust PLC,Allianz Tech,ATT,ALLIANZ TECHNOLOGY TRUST PLC,100,60
22474,Allied Properties HK Ltd,Allied Properties HK,0056,ALLIED PROPERTIES HK LTD,100,91
17462,Alligator Energy Ltd,Alligator Energy Ltd,AGE,ALLIGATOR ENERGY LTD,100,100
7604,Allison Transmission Holdings Inc,Allison Transmission,ALSN,ALLISON TRANSMISSION HOLDING,92,83
37730,Allium Medical Solutions Ltd,Allium Medical,ALMD,ALLIUM MEDICAL SOLUTIONS LTD,100,67
3627,Allstate Corp,Allstate,ALL,ALLSTATE CORP,100,76
6300,Ally Financial Inc,Ally Financial Inc,ALLY,ALLY FINANCIAL INC,100,100
1108,Almaden Minerals Ltd,Almaden Minerals,AMM,ALMADEN MINERALS LTD - B,95,84
2199,Almadex Minerals Ltd,Almadex Minerals,DEX,ALMADEX MINERALS LTD/NEW,91,80
3912,Alnylam Pharmaceuticals Inc,Alnylam,ALNY,ALNYLAM PHARMACEUTICALS INC,100,41
37729,Alon Natural Gas Exploration Ltd,Alon Natural Gas,ALGS,ALON NATURAL GAS EXPLORATION,93,73
25870,Alpen Co Ltd,Alpen Co Ltd,3028,ALPEN CO LTD,100,100
26357,Alpha Group Inc,Alpha Group,3322,ALPHA GROUP INC,100,85
2918,Alphabet Inc,Alphabet A,GOOGL,ALPHABET INC,100,73
49512,AlphaClone Alternative Alpha,AlphaClone Alternative Alpha,ALFA,ALPHACLONE ALTERNATIVE ALPHA,100,100
49526,AlphaMark Actively Managed Small Cap,AlphaMark Actively Managed Small,SMCP,ALPHAMARK ACT MANAGED SMALL,86,92
3977,Alphatec Holdings Inc,Alphatecs,ATEC,ALPHATEC HOLDINGS INC,100,60
3342,Alpine Immune Sciences Inc,Alpine Immune Sciences,ALPN,ALPINE IMMUNE SCIENCES INC,100,92
1950,AltaGas Canada Inc,AltaGas Canada,ACI,ALTAGAS CANADA INC,100,88
6807,Altair Engineering Inc,Altair Engineering,ALTR,ALTAIR ENGINEERING INC - A,96,86
26082,Altech Corp,Altech Corp,4641,ALTECH CORP,100,100
17367,Alterity Therapeutics Ltd,Alterity Therapeutics,ATH,ALTERITY THERAPEUTICS LTD,100,91
17592,Alterra Ltd,Alterra,1AG,ALTERRA LTD,100,78
17981,Althea Group Holdings Ltd,Althea,AGH,ALTHEA GROUP HOLDINGS LTD,100,39
13634,Altia Consultores S.A.,Altia Consultores S.A.,ALC,ALTIA CONSULTORES SA,93,93
5071,Altisource Asset Management Corp,Altisource Asset Management,AAMC,ALTISOURCE ASSET MANAGEMENT,92,100
16592,Altitude Group Plc,Altitude,ALT,ALTITUDE GROUP PLC,100,62
1796,Alto Ventures Ltd.,Alto Ventures,ATV,ALTO VENTURES LTD.,100,87
25976,AltPlus Inc,AltPlus Inc,3672,ALTPLUS INC,100,100
2957,Altria Group Inc,Altria,MO,ALTRIA GROUP INC,100,55
1958,Altura Energy Inc,Altura Energy,ATU,ALTURA ENERGY INC,100,87
17473,Altura Mining Ltd,Altura Mining Ltd,AJM,ALTURA MINING LTD,100,100
1797,Alturas Minerals Corp,Alturas Minerals,ALT,ALTURAS MINERALS CORP,100,86
10364,Alumina Ltd,Alumina,AWC,ALUMINA LTD,100,78
21722,Aluminum Corp of China Ltd,Aluminum Corp of China,2600,ALUMINUM CORP OF CHINA LTD-H,96,88
25216,"Amada Co., Ltd.",Amada,6113,AMADA CO LTD,100,59
3915,AMAG Pharmaceuticals Inc,AMAG,AMAG,AMAG PHARMACEUTICALS INC,100,29
28314,Amana inc,Amana,2402,AMANA INC,100,71
17583,Amani Gold Ltd,Amani Gold,ANL,AMANI GOLD LTD,100,83
26948,Amano Corp,Amano Corp,6436,AMANO CORP,100,100
6562,Amarin Corporation PLC,Amarin,AMRN,AMARIN CORPORATION PLC -ADR,92,38
9638,Amatheon Agri Holding NV,Amatheon Agri,MLAAH,AMATHEON AGRI HOLDING NV,100,70
17904,Amaysim Australia Ltd,Amaysim Australia Ltd,AYS,AMAYSIM AUSTRALIA LTD,100,100
144,Amazon.com Inc,Amazon.com,AMZN,AMAZON.COM INC,100,83
7040,Ambarella Inc,Ambarella,AMBA,AMBARELLA INC,100,82
7760,Ambev SA ADR,Ambev SA,ABEV,AMBEV SA-ADR,100,80
7035,AMC Networks Inc,AMC Networks,AMCX,AMC NETWORKS INC-A,94,80
4938,AMCON Distributing Co,AMCON Distributing,DIT,AMCON DISTRIBUTING CO,100,92
4880,Amcor,Amcor PLC,AMCR,AMCOR PLC,71,100
6366,Amdocs Ltd,Amdocs,DOX,AMDOCS LTD,100,75
3917,Amedisys Inc,Amedisys,AMED,AMEDISYS INC,100,80
6963,Amerco,Amerco,UHAL,AMERCO,100,100
3673,Ameren Corp,Ameren,AEE,AMEREN CORP,100,71
2570,American Airlines Group Inc,American Airlines,AAL,AMERICAN AIRLINES GROUP INC,100,77
4273,American Airlines Group,American Airlines,AAL,AMERICAN AIRLINES GROUP INC,92,77
5239,American Assets Trust Inc,American Assets,AAT,AMERICAN ASSETS TRUST INC,100,75
6265,American Campus Communities Inc,American Campus,ACC,AMERICAN CAMPUS COMMUNITIES,93,71
3931,American Caresource Holdings Inc,American Caresource,GNOW,AMERICAN CARESOURCE HOLDINGS,93,81
1798,American Creek Resources Ltd,American Creek Resources,AMK,AMERICAN CREEK RESOURCES LTD,100,92
7585,American Eagle Outfitters Inc,American Eagle Outfitters,AEO,AMERICAN EAGLE OUTFITTERS,93,100
3577,American Electric Power Company Inc,American Electric Power,AEP,AMERICAN ELECTRIC POWER CO,85,94
117,American Express Co DRC,American Express DRC,AXP,AMERICAN EXPRESS CO,90,92
2760,American Express Company,American Express,AXP,AMERICAN EXPRESS CO,88,91
7952,American Express Co,American Express,AXP,AMERICAN EXPRESS CO,100,91
6266,American Financial Group Inc,American Financial,AFG,AMERICAN FINANCIAL GROUP INC,100,78
6305,American Homes 4 Rent,AMH 4 Rent,AMH,AMERICAN HOMES 4 RENT- A,95,61
115,American International Group Inc,AIG,AIG,AMERICAN INTERNATIONAL GROUP,93,19
3930,American National Insurance Company,American National Insurance,ANAT,AMERICAN NATIONAL INSURANCE,87,100
17495,American Patriot Oil Gas,American Patriot Oil Gas,AOW,AMERICAN PATRIOT OIL & GAS L,96,96
3938,American Public Education Inc,American Public Education,APEI,AMERICAN PUBLIC EDUCATION,93,100
5174,American Realty Investors Inc,American Realty Investors,ARL,AMERICAN REALTY INVESTORS IN,98,94
5227,American States Water Company,American States Water,AWR,AMERICAN STATES WATER CO,91,93
3507,American Tower Corp,American Tower,AMT,AMERICAN TOWER CORP,100,85
9899,American Vanguard Corp,American Vanguard,AVD,AMERICAN VANGUARD CORP,100,87
3118,Ameriprise Financial Inc,Ameriprise Financial,AMP,AMERIPRISE FINANCIAL INC,100,91
3870,Ameris Bancorp,Ameris,ABCB,AMERIS BANCORP,100,60
3925,AMERISAFE Inc,AMERISAFE,AMSF,AMERISAFE INC,100,82
3967,AmeriServ Financial Inc,AmeriServ,ASRV,AMERISERV FINANCIAL INC,100,56
4844,Ametek Inc,Ametek,AME,AMETEK INC,100,75
2746,Amgen Inc,Amgen,AMGN,AMGEN INC,100,71
4358,Amicus Therapeutics Inc,Amicus,FOLD,AMICUS THERAPEUTICS INC,100,41
26240,Amita Holdings Co Ltd,Amita,2195,AMITA HOLDINGS CO LTD,100,38
3918,Amkor Technology Inc,Amkor,AMKR,AMKOR TECHNOLOGY INC,100,40
5204,AMN Healthcare Services Inc,AMN Healthcare Services,AMN,AMN HEALTHCARE SERVICES INC,100,92
37573,Amot Investments Ltd,Amot Investments,AMOT,AMOT INVESTMENTS LTD,100,89
