Unnamed: 0,Code,ISIN,CUSIP,Sector,Industry,GicSector,GicGroup,GicIndustry,GicSubIndustry
0,ACRE,US04013V1089,04013V108,Real Estate,REIT-Mortgage,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
0,ACRS,US00461U1051,00461U105,Healthcare,Diagnostics & Research,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,ACRX,US00444T1007,00444T100,Healthcare,Drug Manufacturers-Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,ACST,CA00430K8730,00430K105,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,ACT,US29249E1091,,Financial Services,Insurance-Specialty,,,,
0,ACTG,US0038813079,003881109,Industrials,Specialty Business Services,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
0,ACU,US0048161048,004816104,Consumer Defensive,Household & Personal Products,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies
0,ADAP,US00653A1079,00653A107,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ADBE,US00724F1012,00724F101,Technology,Software-Infrastructure,Information Technology,Software & Services,Software,Application Software
0,ADES,US00770C1018,005208103,Industrials,Pollution & Treatment Controls,Materials,Materials,Chemicals,Specialty Chemicals
0,ADI,US0326541051,032654105,Technology,Semiconductors,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
0,ADI,US0326541051,032654105,Technology,Semiconductors,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
0,ADIL,US00688A1060,00688A106,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,ADM,US0394831020,039483102,Consumer Defensive,Farm Products,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products
0,ADMA,US0008991046,000899104,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ADMP,US00547W2089,00547W109,Healthcare,Drug Manufacturers-Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,ADN,US00788A1051,,Utilities,Utilities-Renewable,,,,
0,ADNT,IE00BD845X29,00BD845X2,Consumer Cyclical,Auto Parts,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
0,ADP,US0530151036,053015103,Industrials,Staffing & Employment Services,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
0,ADPT,US00650F1093,00650F109,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
0,ADSK,US0527691069,052769106,Technology,Software-Application,Information Technology,Software & Services,Software,Application Software
0,ADT,US00090Q1031,00090Q103,Industrials,Security & Protection Services,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Security & Alarm Services
0,ADUS,US0067391062,006739106,Healthcare,Medical Care Facilities,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
0,ADV,US00791N1028,007566102,Communication Services,Advertising Agencies,,,,
0,ADVM,US00773U1088,00773U108,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,AEE,US0236081024,023608102,Utilities,Utilities-Regulated Electric,Utilities,Utilities,Multi-Utilities,Multi-Utilities
0,AEF,US00301W1053,00301W105,Financial Services,Asset Management,,,,
0,AEG,US0079241032,007924103,Financial Services,Insurance-Diversified,Financials,Insurance,Insurance,Life & Health Insurance
0,AEI,US02116A1043,,Real Estate,Real Estate-Development,,,,
0,AEIS,US0079731008,007973100,Industrials,Electrical Equipment & Parts,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
0,AEM,CA0084741085,008474108,Basic Materials,Gold,Materials,Materials,Metals & Mining,Gold
0,AEO,US02553E1064,02553D108,Consumer Cyclical,Apparel Retail,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
0,AEO,US02553E1064,02553D108,Consumer Cyclical,Apparel Retail,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
0,AEP,US0255371017,025537101,Utilities,Utilities-Regulated Electric,Utilities,Utilities,Electric Utilities,Electric Utilities
0,AER,NL0000687663,N00985106,Industrials,Rental & Leasing Services,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
0,AERI,US00771V1089,00771V108,Healthcare,Drug Manufacturers-Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,AES,US00130H1059,00130H105,Utilities,Utilities-Diversified,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders
0,AEYE,US0507342014,050734102,Technology,Software-Application,Information Technology,Software & Services,Software,Application Software
0,AEZS,CA0079754028,007975105,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,AFG,US0259321042,025932104,Financial Services,Insurance-Property & Casualty,Financials,Insurance,Insurance,Multi-line Insurance
0,AFG,US0259321042,025932104,Financial Services,Insurance-Property & Casualty,Financials,Insurance,Insurance,Multi-line Insurance
0,AFGB,US0259328070,025932807,Financial,Insurance,,,,
0,AFGC,US0259328807,025932880,Financial,Insurance,,,,
0,AFL,US0010551028,001055102,Financial Services,Insurance-Life,Financials,Insurance,Insurance,Life & Health Insurance
0,AG,CA32076V1031,32076R102,Basic Materials,Silver,Materials,Materials,Metals & Mining,Silver
0,AG,CA32076V1031,32076R102,Basic Materials,Silver,Materials,Materials,Metals & Mining,Silver
0,AG,CA32076V1031,32076R102,Basic Materials,Silver,Materials,Materials,Metals & Mining,Silver
0,AGCO,US0010841023,001084102,Industrials,Farm & Heavy Construction Machinery,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
0,AGCO,US0010841023,001084102,Industrials,Farm & Heavy Construction Machinery,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
0,AGE,US00848H1086,00848H108,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,AGEN,US00847G7051,00847G101,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,AGFS,US00856G1094,00856G109,Consumer Defensive,Farm Products,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
0,AGI,CA0115321089,011527108,Basic Materials,Gold,Materials,Materials,Metals & Mining,Gold
0,AGI,CA0115321089,011527108,Basic Materials,Gold,Materials,Materials,Metals & Mining,Gold
0,AGIO,US00847X1046,00847X104,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,AGL,US00857U1079,,Healthcare,Medical Care Facilities,,,,
0,AGLE,US00773J1034,00773J103,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,AGMH,VGG0132V1058,G0132V105,Technology,Software-Application,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
0,AGO,BMG0585R1060,G0585R106,Financial Services,Insurance-Specialty,Financials,Insurance,Insurance,Property & Casualty Insurance
0,AGR,US05351W1036,05351W103,Utilities,Utilities-Regulated Electric,Utilities,Utilities,Electric Utilities,Electric Utilities
0,AGRO,LU0584671464,L00849106,Consumer Defensive,Farm Products,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
0,AGRO,LU0584671464,L00849106,Consumer Defensive,Farm Products,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
0,AGRX,US00847L2097,00847L100,Healthcare,Drug Manufacturers-Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,AGS,US72814N1046,72814N104,Consumer Cyclical,Gambling,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
0,AGX,US04010E1091,00651F108,Industrials,Engineering & Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
0,AGYS,US00847J1051,00847J105,Technology,Software-Application,Information Technology,Software & Services,Software,Application Software
0,AHG,US98422P1084,,Financial Services,Credit Services,,,,
0,AHH,US04208T1088,04208T108,Real Estate,REIT-Diversified,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
0,AHT,US0441038694,044103109,Real Estate,REIT-Hotel & Motel,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
0,AI,US12468P1049,,Technology,Information Technology Services,Information Technology,Software & Services,Software,Systems Software
0,AIB,KYG0R45S1096,,Financial Services,Shell Companies,,,,
0,AIG,US0268747849,026874107,Financial Services,Insurance-Diversified,Financials,Insurance,Insurance,Multi-line Insurance
0,AIHS,US8172252046,817225105,Financial Services,Credit Services,Financials,Diversified Financials,Consumer Finance,Consumer Finance
0,AIMC,US02208R1068,02208R106,Industrials,Specialty Industrial Machinery,Industrials,Capital Goods,Machinery,Industrial Machinery
0,AIN,US0123481089,012348108,Consumer Cyclical,Textile Manufacturing,Industrials,Capital Goods,Machinery,Industrial Machinery
0,AIN,US0123481089,012348108,Consumer Cyclical,Textile Manufacturing,Industrials,Capital Goods,Machinery,Industrial Machinery
0,AINV,US03761U5020,03761U106,Financial Services,Asset Management,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
0,AIR,US0003611052,000361105,Industrials,Aerospace & Defense,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
0,AIR,US0003611052,000361105,Industrials,Aerospace & Defense,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
0,AIRG,US00938A1043,00938A104,Technology,Communication Equipment,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components
0,AIV,US03748R7474,03748R101,Real Estate,REIT-Residential,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
0,AIZ,US04621X1081,04621X108,Financial Services,Insurance-Specialty,Financials,Insurance,Insurance,Multi-line Insurance
0,AJG,US3635761097,363576109,Financial Services,Insurance Brokers,Financials,Insurance,Insurance,Insurance Brokers
0,AJRD,US0078001056,007800105,Industrials,Aerospace & Defense,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
0,AJRD,US0078001056,007800105,Industrials,Aerospace & Defense,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
0,AJX,US38983D3008,38983D300,Real Estate,REIT-Mortgage,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
0,AKAM,US00971T1016,00971T101,Technology,Software-Infrastructure,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure
0,AKBA,US00972D1054,00972D105,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,AKR,US0042391096,004239109,Real Estate,REIT-Retail,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
0,AKRO,US00973Y1082,00973Y108,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,
0,AKTS,US00973N1028,00973N102,Technology,Communication Equipment,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components
0,AKTS,US00973N1028,00973N102,Technology,Communication Equipment,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components
0,AKTX,US00972G1085,00972G108,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,ALAC,VGG350061088,G35006108,Financial Services,Shell Companies,,,,
0,ALB,US0126531013,012653101,Basic Materials,Specialty Chemicals,Materials,Materials,Chemicals,Specialty Chemicals
0,ALB,US0126531013,012653101,Basic Materials,Specialty Chemicals,Materials,Materials,Chemicals,Specialty Chemicals
0,ALBO,US01345P1066,01345P106,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALC,CH0432492467,,Healthcare,Medical Instruments & Supplies,,,,
0,ALCO,US0162301040,016230104,Consumer Defensive,Farm Products,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products
0,ALDX,US01438T1060,01438T106,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALE,US0185223007,018522102,Utilities,Utilities-Diversified,Utilities,Utilities,Electric Utilities,Electric Utilities
0,ALEC,US0144421072,014442107,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALEX,US0144911049,014481105,Real Estate,REIT-Diversified,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
0,ALEX,US0144911049,014481105,Real Estate,REIT-Diversified,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
0,ALF,US00161P1093,04543L109,Technology,Software-Infrastructure,,,,
0,ALG,US0113111076,011311107,Industrials,Farm & Heavy Construction Machinery,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
0,ALGN,US0162551016,016255101,Healthcare,Medical Devices,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
0,ALGS,US01626L1052,,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALGT,US01748X1028,01748X102,Industrials,Airlines,Industrials,Transportation,Airlines,Airlines
0,ALJJ,US0016271084,001627108,Industrials,Specialty Business Services,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
0,ALK,US0116591092,011659109,Industrials,Airlines,Industrials,Transportation,Airlines,Airlines
0,ALKS,IE00B56GVS15,01642T108,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALL,US0200021014,020002101,Financial Services,Insurance-Property & Casualty,Financials,Insurance,Insurance,Property & Casualty Insurance
0,ALLE,IE00BFRT3W74,G0176J109,Industrials,Security & Protection Services,Industrials,Capital Goods,Building Products,Building Products
0,ALLK,US01671P1003,01671P100,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALLO,US0197701065,019770106,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALLT,IL0010996549,M0854Q105,Technology,Software-Infrastructure,Information Technology,Software & Services,Software,Systems Software
0,ALLY,US02005N1000,02005N100,Financial Services,Credit Services,Financials,Diversified Financials,Consumer Finance,Consumer Finance
0,ALNA,US0181191075,018119107,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALNY,US02043Q1076,02043Q107,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALOT,US04638F1084,04638F108,Technology,Computer Hardware,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
0,ALPA,US02073F1049,,Financial Services,Shell Companies,,,,
0,ALPN,US02083G1004,02083G100,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALR,US33832D2053,,Healthcare,Medical Care Facilities,,,,
0,ALRM,US0116421050,011642105,Technology,Software-Application,Information Technology,Software & Services,Software,Application Software
0,ALRN,US00887A1051,00887A105,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALRS,US01446U1034,011637105,Financial Services,Banks-Regional,Financials,Diversified Financials,Diversified Financial Services,Regional Banks
0,ALSN,US01973R1014,01973R101,Consumer Cyclical,Auto Parts,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
0,ALT,US02155H2004,02155H101,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ALTO,US0215131063,,Basic Materials,Specialty Chemicals,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
0,ALTR,US0213691035,021369103,Technology,Software-Infrastructure,Information Technology,Software & Services,Software,Application Software
0,ALV,US0528001094,052800109,Consumer Cyclical,Auto Parts,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
0,ALYA,CA01643B1067,01643B106,Technology,Information Technology Services,Information Technology,Software & Services,IT Services,
0,AM,US03676B1026,03673L103,Energy,Oil & Gas Midstream,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
0,AMAL,US0226711010,022663108,Financial Services,Banks-Regional,Financials,Banks,Banks,Regional Banks
0,AMAT,US0382221051,038222105,Technology,Semiconductor Equipment & Materials,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
0,AMBA,KYG037AX1015,G037AX101,Technology,Semiconductor Equipment & Materials,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
0,AMBO,US02322P2002,02322P101,Consumer Defensive,Education & Training Services,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
0,AMC,US00165C1045,00165C104,Communication Services,Entertainment,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
0,AMCR,JE00BJ1F3079,G0250X107,Consumer Cyclical,Packaging & Containers,Materials,Materials,Containers & Packaging,Metal & Glass Containers
0,AMCX,US00164V1035,00164V103,Communication Services,Entertainment,Communication Services,Media & Entertainment,Media,Broadcasting
0,AMD,US0079031078,007903107,Technology,Semiconductors,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
0,AME,US0311001004,031100100,Industrials,Specialty Industrial Machinery,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
0,AMED,US0234361089,023436108,Healthcare,Medical Care Facilities,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
0,AMEH,US03763A2078,03763A108,Healthcare,Medical Care Facilities,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
0,AMG,US0082521081,008252108,Financial Services,Asset Management,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
0,AMGN,US0311621009,031162100,Healthcare,Drug Manufacturers-General,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,AMH,US02665T3068,02665T306,Real Estate,REIT-Residential,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
0,AMK,US04546L1061,030137103,Financial Services,Asset Management,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
0,AMKR,US0316521006,031652100,Technology,Semiconductors,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
0,AMKR,US0316521006,031652100,Technology,Semiconductors,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
0,AMN,US0017441017,001744101,Healthcare,Medical Care Facilities,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
0,AMOT,US0193301092,019330109,Technology,Electronic Components,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
0,AMOV,US02364W2044,02364W204,Communication Services,Telecom Services,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
0,AMP,US03076C1062,03076C106,Financial Services,Asset Management,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
0,AMPE,US03209T1097,03209T109,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,AMPG,US03211Q2003,03070U102,Technology,Communication Equipment,,,,
0,AMPH,US03209R1032,03209R103,Healthcare,Drug Manufacturers-Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,AMR,US0207641061,001765106,Basic Materials,Coking Coal,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
0,AMRC,US02361E1082,02361E108,Industrials,Engineering & Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
0,AMRK,US00181T1079,00181T107,Financial Services,Capital Markets,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
0,AMRN,US0231112063,023111107,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
