Ticker,Name-IB,Country-IB,Exchange-IB,Currency-IB,ISIN-19.7,ISIN-IB
9502,CHUBU ELECTRIC POWER CO INC,Japan,TSEJ,JPY,,JP3526600006
1941,CHUDENKO CORP,Japan,TSEJ,JPY,JP3524000001,JP3524000001
4519,CHUGAI PHARMACEUTICAL CO LTD,Japan,TSEJ,JPY,,JP3519400000
8382,CHUGOKU BANK LTD/THE,Japan,TSEJ,JPY,,JP3521000004
9504,CHUGOKU ELECTRIC POWER CO,Japan,TSEJ,JPY,,JP3522200009
4617,CHUGOKU MARINE PAINTS LTD,Japan,TSEJ,JPY,JP3522600000,JP3522600000
8530,CHUKYO BANK LTD/THE,Japan,TSEJ,JPY,,JP3520000005
CHUM,CHUMA HOLDINGS INC,,VALUE,USD,,
CHT,CHUNGHWA TELECOM LT-SPON ADR,United States of America,NYSE,USD,,
CCWF,CHURCH & CRAWFORD INC,United States of America,PINK,USD,,
CHD,CHURCH & DWIGHT INC,,US Exchange,,,
CHDN,CHURCHILL DOWNS INC,United States of America,NASDAQ,USD,,
CHL,CHURCHILL MINING PLC,,VALUE,GBP,,
CIX,CI FINANCIAL CORP,Canada,TSE,CAD,CA1254911003,
WXM,CI FIRST ASSET MORNINGSTAR C,,TSE,CAD,,
WXM,CI FIRST ASSET MORNINGSTAR C,,TSE,CAD,,
WXM,CI FIRST ASSET MORNINGSTAR C,,TSE,CAD,,
CII,CI RESOURCES LIMITED,Australia,ASX,AUD,,AU000000CII5
CIAU,CIAO GROUP INC,,VALUE,USD,,
CACB,CIBC ACTIVE INVESTMENT GRADE,,TSE,CAD,,
CIBY,CIBL INC,United States of America,PINK,USD,,
CIBG,CIBOLAN GOLD CORP,,VALUE,USD,,
MBAIF,CIBT EDUCATION GROUP INC,United States of America,PINK,USD,,
CIBUS,CIBUS NORDIC REAL ESTATE AB,Sweden,SFB,SEK,,SE0010832204
CICN,CICERO INC,United States of America,PINK,USD,,
CRLN,CICOR TECHNOLOGIES-REG,Germany,FWB,EUR,,CH0008702190
CDTX,CIDARA THERAPEUTICS INC,United States of America,NASDAQ,USD,,
RITN,CIE FINANCIERE RICHEMONT-REG,Germany,FWB,EUR,,CH0210483332
CMC,CIELO WASTE SOLUTIONS CORP,Canada,PURE,CAD,,
CIEN,CIENA CORP,United States of America,NYSE,USD,,
0884,CIFI HOLDINGS GROUP CO LTD,Hong Kong,SEHK,HKD,KYG2140A1076,
CGMX,CIGMA METALS CORP.,,VALUE,USD,,
CI,CIGNA CORP,United States of America,NYSE,USD,,
CIGNITITE,CIGNITI TECHNOLOGIES LTD,India,NSE,INR,,INE675C01017
CNOVAPETR,CIL NOVA PETROCHEMICALS LTD,India,NSE,INR,,
CMCTP,CIM COMMERCIAL TRUST COR,United States of America,NASDAQ,USD,,
XEC,CIMAREX ENERGY CO,United States of America,US Exchange,,,
1839,CIMC VEHICLES GROUP CO LTD-H,Hong Kong,SEHK,HKD,,CNE100003K46
CIM,CIMIC GROUP LTD,Australia,ASX,AUD,AU000000CIM7,
CIMMCO,CIMMCO LTD,India,NSE,INR,,
CBB,CINCINNATI BELL INC,United States of America,NYSE,USD,,
CINF,CINCINNATI FINANCIAL CORP,United States of America,US Exchange,,,
0111,CINDA INTERNATIONAL HOLDINGS,Hong Kong,SEHK,HKD,,
600657,CINDA REAL ESTATE CO LTD -A,China,SEHKNTL,CNH,,CNE000000966
CIDM,CINEDIGM CORP - A,United States of America,NASDAQ,USD,,
CINELINE,CINELINE INDIA LTD,India,NSE,INR,,INE704H01022
CINM,CINEMAELECTRIC*-,,VALUE,USD,,
CNK,CINEMARK HOLDINGS INC,Germany,NYSE,USD,US17243V1026,
CGX,CINEPLEX INC,Canada,TSE,CAD,,
CINR,CINER RESOURCES LP,United States of America,NYSE,USD,,
CINEVISTA,CINEVISTA LTD,India,NSE,INR,,INE039B01026
CINE,CINEWORLD GROUP PLC,United Kingdom,LSE,GBP,,GB00B15FWH70
CTAS,CINTAS CORP,United States of America,US Exchange,,,
CPH,CIPHER PHARMACEUTICALS INC,Canada,TSE,CAD,CA17253X1050,
CLOK,CIPHERLOC CORP,United States of America,PINK,USD,,
CIPLA,CIPLA LTD,India,NSE,INR,,INE059A01026
CTO,CIRCA ENTERPRISES INC,Canada,VENTURE,CAD,,
CIR,CIRCASSIA GROUP PLC,United Kingdom,LSE,GBP,,GB00BJVD3B28
CEXE,CIRCLE ENTERTAINMENT INC,United States of America,PINK,USD,,
CRC,CIRCLE PROPERTY PLC,United Kingdom,LSE,GBP,,JE00BYP0CK63
CIR,CIRCOR INTERNATIONAL INC,United States of America,NYSE,USD,,
CCTYQ,CIRCUIT CITY STORES INC,United States of America,DOLLR4LOT,USD,,
CRLI,CIRCUIT RESEARCH LABS INC,United States of America,PINK,USD,,
CRQE,CIRQUE ENERGY INC,United States of America,PINK,USD,,
CRO,CIRRALTO LTD,Australia,ASX,AUD,,
CRUS,CIRRUS LOGIC INC,United States of America,NASDAQ,USD,,
CNW,CIRRUS NETWORKS HOLDINGS LTD,Australia,ASX,AUD,,AU000000CNW6
CSCO,CISCO SYSTEMS INC,Mexico,US Exchange,,US17275R1023,
603367,CISEN PHARMACEUTICAL CO LT-A,China,SEHKNTL,CNH,,CNE100002VG4
CISN,CISION LTD,,VALUE,USD,,
CNWT,CISTERA NETWORKS INC,United States of America,PINK,USD,,
CIT,CIT GROUP INC,Germany,NYSE,USD,,
CDFT,CITADEL EFT INC,,VALUE,USD,,
COIL,CITADEL EXPLORATION INC,United States of America,PINK,USD,,
CGL,CITADEL GROUP LTD/THE,Australia,ASX,AUD,,
CGRO,CITATION GROWTH CORP,Canada,PURE,CAD,,
CTR,CITATION RESOURCES LTD,,VALUE,AUD,,
CTRN,CITI TRENDS INC,United States of America,NASDAQ,USD,,
CEE.SGD,CITIC ENVIROTECH LTD,,VALUE,SGD,,
000839,CITIC GUOAN INFORMATION-A,China,SEHKSZSE,CNH,,CNE000000TD0
601608,CITIC HEAVY INDUSTRIES CO -A,China,SEHKNTL,CNH,,CNE100001SX7
0267,CITIC LTD,Hong Kong,SEHK,HKD,,
000099,CITIC OFFSHORE HELICOPTER-A,China,SEHKSZSE,CNH,,CNE0000013Q1
1205,CITIC RESOURCES HOLDINGS LTD,Hong Kong,SEHK,HKD,BMG2155Y1075,
6030,CITIC SECURITIES CO LTD-H,Hong Kong,SEHK,HKD,,CNE1000016V2
1883,CITIC TELECOM INTERNATIONAL,Hong Kong,SEHK,HKD,,HK1883037637
CTO,CITIGOLD CORP LTD,Australia,ASX,AUD,,AU000000CTO0
C,CITIGROUP INC,Germany,US Exchange,,,
CTXR,CITIUS PHARMACEUTICALS INC,United States of America,NASDAQ,USD,,
7762,CITIZEN WATCH CO LTD,Japan,TSEJ,JPY,,JP3352400000
CZBC,CITIZENS BANCORP/ORE,United States of America,PINK,USD,,
CITZ,CITIZENS BANCSHARES CORP/SC,United States of America,PINK,USD,,
CCVS,CITIZENS COMMERCE BANCSHARES,United States of America,PINK,USD,,
CZWI,CITIZENS COMMUNITY BANCORP I,United States of America,NASDAQ,USD,,
CFG,CITIZENS FINANCIAL GROUP INC,,US Exchange,,,
CZFS,CITIZENS FINANCIAL SERVICES,United States of America,PINK,USD,,
CIZN,CITIZENS HOLDING COMPANY,United States of America,NASDAQ,USD,,
CNBL,CITIZENS NATIONAL BANCSHARES,United States of America,PINK,USD,,
CTXS,CITRIX SYSTEMS INC,Mexico,US Exchange,,US1773761002,
CTBK,CITY BANK LYNNWOOD WA,United States of America,PINK,USD,,
CTCC,CITY CAPITAL CORP ,,VALUE,USD,,
CCX,CITY CHIC COLLECTIVE LTD,Australia,ASX,AUD,AU0000031767,AU0000031767
CDE,CITY DEVELOPMENTS LTD,Germany,FWB2,EUR,,SG1R89002252
CHCO,CITY HOLDING CO,United States of America,NASDAQ,USD,,
CMHY,CITY MERCHANTS HIGH YIELD TR,United Kingdom,LSE,GBP,,
CYN,CITY NATIONAL CORP,,VALUE,USD,,
CSNY,CITY NETWORK INC,,VALUE,USD,,
CIN,CITY OF LONDON GROUP PLC,United Kingdom,LSE,GBP,,GB00BD9GS058
CLIG,CITY OF LONDON INVESTMENT GR,United States of America,LSE,GBP,,GB00B104RS51
CIO,CITY OFFICE REIT INC,United States of America,NYSE,USD,,
CIY,CITY PACIFIC LIMITED,,VALUE,AUD,,
CPC,CITY PUB GROUP PLC/THE,United Kingdom,LSE,GBP,,GB00BYWRS683
CUB,CITY UNION BANK LTD,India,NSE,INR,,INE491A01021
CVGR,CITY VIEW GREEN HOLDINGS INC,Canada,PURE,CAD,,
600067,CITYCHAMP DARTONG CO LTD-A,China,SEHKNTL,CNH,,CNE000000QD6
0256,CITYCHAMP WATCH & JEWELLERY,Hong Kong,SEHK,HKD,,
5HJ,CITYNEON HOLDINGS LTD,,VALUE,SGD,,
CVEO,CIVEO CORP,United States of America,NYSE,USD,,
CIVB,CIVISTA BANCSHARES INC,United States of America,NASDAQ,USD,,
CSH,CIVITAS SOCIAL HOUSING PLC,United Kingdom,LSE,GBP,,GB00BD8HBD32
CVL,CIVMEC LTD/CDI,Australia,ASX,AUD,,
1113,CK ASSET HOLDINGS LTD,Hong Kong,SEHK,HKD,KYG2177B1014,
0001,CK HUTCHISON HOLDINGS LTD,Hong Kong,SEHK,HKD,KYG217651051,
1038,CK INFRASTRUCTURE HOLDINGS L,Hong Kong,SEHK,HKD,,
0775,CK LIFE SCIENCES INTL HLDGS,Hong Kong,SEHK,HKD,,
CKX,CKX LANDS INC,United States of America,AMEX,USD,,
CLEDUCATE,CL EDUCATE LTD,India,NSE,INR,,INE201M01029
8098,CL GROUP HOLDINGS LTD,Hong Kong,SEHK,HKD,,
CVG,CLAIRVEST GROUP INC,Canada,TSE,CAD,,
CLIS,CLAL INSURANCE ENTERPR HLDGS,Israel,TASE,ILS,,IL0002240146
CCYC,CLANCY CORP,United States of America,PINK,USD,,
CLC,CLARCOR INC,,VALUE,USD,,
CEN,CLAREN ENERGY CORP,Canada,VENTURE,CAD,,
CLRN,CLARENT CORP,,VALUE,USD,,
CLRN,CLARIANT AG-REG,Germany,FWB,EUR,,CH0012142631
CLNINDIA,CLARIANT CHEMICALS (I) LTD,India,NSE,INR,,INE492A01029
6796,CLARION CO LTD,,VALUE,JPY,,
CCC,CLARIVATE PLC,United States of America,NYSE,USD,,
CKCB,CLARK COUNTY BANCORPORATION,United States of America,PINK,USD,,
CKI,CLARKE INC,Canada,TSE,CAD,,
CKN,CLARKSON PLC,United Kingdom,LSE,GBP,,GB0002018363
CX,CLARMIN EXPLORATIONS INC,Canada,VENTURE,CAD,,
CLY.H,CLAROCITY CORPORATION,,VALUE,CAD,,
CLAR,CLARUS CORP,United States of America,NASDAQ,USD,,
8232,CLASSIFIED GROUP HOLDINGS LT,Hong Kong,SEHK,HKD,,
CLAV,CLAVISTER HOLDING AB,Sweden,SFB,SEK,,SE0005308558
CLLA,CLAYTON & LAMBERT MFG CO,United States of America,PINK,USD,,
CWEI,CLAYTON WILLIAMS ENERGY INC,,VALUE,USD,,
CCTC,CLEAN COAL TECHNOLOGIES INC,United States of America,PINK,USD,,
CECU,CLEAN ENERGY COMBUSTION SYS,,VALUE,USD,,
CLNE,CLEAN ENERGY FUELS CORP,Germany,NASDAQ,USD,,
CPWY,CLEAN ENERGY PATHWAYS INC,United States of America,PINK,USD,,
CETY,CLEAN ENERGY TECHNOLOGIES IN,United States of America,PINK,USD,,
CLH,CLEAN HARBORS INC,United States of America,NYSE,USD,,
CSS,CLEAN SEAS SEAFOOD LTD,Australia,ASX,AUD,AU000000CSS3,AU000000CSS3
CLTH,CLEAN TECH BIOFUELS INC,United States of America,PINK,USD,,
CLQ,CLEAN TEQ HOLDINGS LTD,Canada,TSE,CAD,,
CWY,CLEANAWAY WASTE MANAGEMENT L,Australia,ASX,AUD,,AU000000CWY3
7955,CLEANUP CORP,Japan,TSEJ,JPY,JP3270200003,JP3270200003
CBLU,CLEAR BLUE TECHNOLOGIES INTE,Canada,VENTURE,CAD,,
CCO,CLEAR CHANNEL OUTDOOR HOLDIN,United States of America,NYSE,USD,,
100,CLEAR MEDIA LTD,Hong Kong,SEHK,HKD,,
CSKH,CLEAR SKIES SOLAR INC,,VALUE,USD,,
CBA,CLEARBRIDGE AMERICAN ENERGY,,VALUE,USD,,
EMO,CLEARBRIDGE ENERGY MIDSTREAM,United States of America,NYSE,USD,,
1H3,CLEARBRIDGE HEALTH LTD,Singapore,SGX,SGD,,SG1EB6000000
CLFD,CLEARFIELD INC,United States of America,NASDAQ,USD,,
CLI,CLEARFORD WATER SYSTEMS INC,Canada,VENTURE,CAD,,
CLRO,CLEARONE INC,United States of America,NASDAQ,USD,,
CLSD,CLEARSIDE BIOMEDICAL INC,United States of America,NASDAQ,USD,,
CLIR,CLEARSIGN TECHNOLOGIES CORP,United States of America,NASDAQ,USD,,
CLSU,CLEARSTAR INC,United Kingdom,LSE,GBP,,
CSM,CLEARSTREAM ENERGY SERVICES,Canada,TSE,CAD,,
CLRI,CLEARTRONIC INC,United States of America,PINK,USD,,
CVW,CLEARVIEW WEALTH LTD,Australia,ASX,AUD,AU000000CVW9,AU000000CVW9
CPV,CLEARVUE TECHNOLOGIES LTD,Australia,ASX,AUD,,AU0000003816
CLW,CLEARWATER PAPER CORP,United States of America,NYSE,USD,,
CLR,CLEARWATER SEAFOODS INC,Canada,TSE,CAD,,
CWTC,CLEARWAVE TELECOMMUNICATIONS,United States of America,PINK,USD,,
CWEN,CLEARWAY ENERGY INC-C,United States of America,NYSE,USD,,
CNL,CLECO CORPORATION,,VALUE,USD,,
CRGE,CLENERGEN CORP,United States of America,PINK,USD,,
603628,CLENERGY XIAMEN TECHNOLOGY-A,China,SEHKNTL,CNH,,CNE100002G27
CLEO,CLEOP-CIA LEVANTINA EDF,Spain,BM,EUR,,ES0158300410
CBLI,CLEVELAND BIOLABS INC,United States of America,NASDAQ,USD,,
CDG,CLEVELAND MINING CO LTD,,VALUE,AUD,,
CLE,CLEVER GLOBAL SA,Spain,BM,EUR,ES0105152005,ES0105152005
CKEI,CLICKABLE ENTERPRISES INC,,VALUE,USD,,
CLS,CLICKS GROUP LTD,South Africa,JSE,ZAR,,ZAE000134854
3686,CLIFFORD MODERN LIVING HOLDI,Hong Kong,SEHK,HKD,,
CEP,CLIFFSIDE CAPITAL LTD,Canada,VENTURE,CAD,,
CFTN,CLIFTON MINING COMPANY,United States of America,PINK,USD,,
CAMPA,CLIME CAPITAL LTD,Australia,ASX,AUD,,
CAMPA,CLIME CAPITAL LTD,Australia,ASX,AUD,,
CIW,CLIME INVESTMENT MANAGEMENT,Australia,ASX,AUD,AU000000CIW6,AU000000CIW6
CBAV,CLINICA BAVIERA SA,Spain,BM,EUR,,ES0119037010
CLIN,CLINIGEN GROUP PLC,United Kingdom,LSE,GBP,,
CUV,CLINUVEL PHARMACEUTICALS LTD,Australia,ASX,AUD,AU000000CUV3,AU000000CUV3
CLG,CLIPPER LOGISTICS PLC,United Kingdom,LSE,GBP,,
CLPR,CLIPPER REALTY INC,United States of America,NYSE,USD,,
U1D,CLOCKCHAIN AG,Germany,FWB,EUR,,
CATI,CLONE ALGO TECHNOLOGIES INC,United States of America,PINK,USD,,
CLX,CLOROX CO,,US Exchange,,,
CBG,CLOSE BROTHERS GROUP PLC,United Kingdom,LSE,GBP,,GB0007668071
44354,CLOUD INVESTMENT HOLDINGS LT,Hong Kong,VALUE,HKD,,
KCP.EUR,CLOUD PEAK ENERGY INC,,VALUE,EUR,,
CALL,CLOUDCALL GROUP PLC,United Kingdom,LSE,GBP,GB00B4XS5145,
CLWD,CLOUDCOMMERCE INC,United States of America,PINK,USD,,
CLDR,CLOUDERA INC,United States of America,NYSE,USD,,
CTAG,CLOUDTAG INC,,VALUE,GBP,,
GLO,CLOUGH GLBL OPPORTUNITIES FD,United States of America,AMEX,USD,,
GLQ,CLOUGH GLOBAL EQUITY FUND,United States of America,AMEX,USD,,
CLV,CLOVER CORPORATION LIMITED,Australia,ASX,AUD,,AU000000CLV2
CLVS,CLOVIS ONCOLOGY INC,United States of America,NASDAQ,USD,,
0002,CLP HOLDINGS LTD,Hong Kong,SEHK,HKD,,
CLPS,CLPS INC,United States of America,NASDAQ,USD,,
LRGE,CLRBRDG LRG CAP GWTH ESG ETF,,NASDAQ,USD,,
CLI,CLS HOLDINGS PLC,United Kingdom,LSE,GBP,,GB00BF044593
CLSH,CLS HOLDINGS USA INC,United States of America,PINK,USD,,
6877,CLSA PREMIUM LTD,Hong Kong,SEHK,HKD,,
CLBO,CLUB RESOURCES LTD,United States of America,DOLLR4LOT,USD,,
4240,CLUSTER TECHNOLOGY CO LTD,Japan,TSEJ,JPY,JP3268810003,JP3268810003
CMV,CMA CORPORATION LTD,,VALUE,AUD,,
2185,CMC CORP,Japan,TSEJ,JPY,JP3347170007,JP3347170007
CMCX,CMC MARKETS PLC,United Kingdom,LSE,GBP,GB00B14SKR37,GB00B14SKR37
CME,CME GROUP INC,United States of America,US Exchange,,,
CMGO,CMG HOLDINGS GROUP INC,United States of America,PINK,USD,,
0206,CMIC OCEAN EN-TECH HOLDING C,Hong Kong,SEHK,HKD,,
CMEY,CMONEY INC,,VALUE,USD,,
CMS,CMS ENERGY CORP,Germany,US Exchange,,,
CMSD,CMS ENERGY CORP,Germany,NYSE,USD,,
CMSD,CMS ENERGY CORP,Germany,NYSE,USD,,
CMSD,CMS ENERGY CORP,Germany,NYSE,USD,,
CNRR,CN RESOURCES INC,United States of America,PINK,USD,,
CNA,CNA FINANCIAL CORP,Germany,NYSE,USD,,
CNBN,CNB BANK SHARES INC,United States of America,PINK,USD,,
CCNE,CNB FINANCIAL CORP/PA,United States of America,NASDAQ,USD,,
8356,CNC HOLDINGS LTD,Hong Kong,SEHK,HKD,KYG2238D1043,
CNF,CNFINANCE HOLDINGS LTD,United States of America,NYSE,USD,,
2302,CNNC INTERNATIONAL LTD,Hong Kong,SEHK,HKD,,
CNO,CNO FINANCIAL GROUP INC,Germany,NYSE,USD,,
883,CNOOC LTD,Hong Kong,SEHK,HKD,,HK0883013259
000617,CNPC CAPITAL CO LTD-A,China,SEHKSZSE,CNH,,CNE000000MS3
1240,CNQC INTERNATIONAL HOLDINGS,Hong Kong,SEHK,HKD,,
CNX,CNX RESOURCES CORPORATION,,US Exchange,,,
CCRK,COAL CREEK CO,United States of America,PINK,USD,,
COALINDIA,COAL INDIA LTD,India,NSE,INR,,INE522F01014
CA8,COASSETS LTD,,VALUE,AUD,,
CCNB,COASTAL CAROLINA BANCSHARES,United States of America,PINK,USD,,
CCB,COASTAL FINANCIAL CORP/WA,United States of America,NASDAQ,USD,,
1124,COASTAL GREENLAND LTD,Hong Kong,SEHK,HKD,,
COTE,COATES INTERNATIONAL LTD,United States of America,PINK,USD,,
CGW,COATS GROUP PLC-CDI,,VALUE,AUD,,
COBCF,COBALT BLOCKCHAIN INC,United States of America,PINK,USD,,
COB,COBALT BLUE HOLDINGS LTD,Australia,ASX,AUD,,AU000000COB8
CSK,COBALTECH MINING INC,,VALUE,CAD,,
COB.GBP,COBHAM PLC,,VALUE,GBP,,
CBHMY,COBHAM PLC-UNSPON ADR,,VALUE,USD,,
COBR,COBRA RESOURCES PLC,United Kingdom,LSE,GBP,,GB00BGJW5255
CBV,COBRA VENTURE CORPORATION,Canada,VENTURE,CAD,,
2579,COCA-COLA BOTTLERS JAPAN HOL,Japan,TSEJ,JPY,,JP3293200006
KO,COCA-COLA CO,,US Exchange,,,
CCEP,COCA-COLA EUROPEAN PARTNERS,United States of America,US Exchange,,,
CCH,COCA-COLA HBC AG-DI,United Kingdom,LSE,GBP,,CH0198251305
COCHINSHI,COCHIN SHIPYARD LTD,India,NSE,INR,,INE704P01017
COH,COCHLEAR LIMITED,Australia,ASX,AUD,,AU000000COH5
3098,COCOKARA FINE INC,Japan,TSEJ,JPY,JP3297330007,
COCP,COCRYSTAL PHARMA INC,United States of America,NASDAQ,USD,,
CODA,CODA OCTOPUS GROUP INC,United States of America,NASDAQ,USD,,
CDA,CODAN LTD,Australia,ASX,AUD,AU000000CDA3,AU000000CDA3
CGAC,CODE GREEN APPAREL CORP,United States of America,PINK,USD,,
CDRBQ,CODE REBEL CORP,,VALUE,USD,,
CDM,CODEMASTERS GROUP HOLDINGS P,United Kingdom,LSE,GBP,,
ITEN,CODESMART HOLDINGS INC,,VALUE,USD,,
CDXS,CODEXIS INC,United States of America,NASDAQ,USD,,
CVLY,CODORUS VALLEY BANCORP INC,United States of America,NASDAQ,USD,,
CDAB,COEUR D'ALENE BANCORP INC,United States of America,PINK,USD,,
CDE,COEUR MINING INC,Germany,NYSE,USD,,
000930,COFCO BIOTECHNOLOGY CL LT-A,China,SEHKSZSE,CNH,,CNE000000ZR7
1610,COFCO MEAT HOLDINGS LTD,Hong Kong,SEHK,HKD,KYG226921008,
600737,COFCO TUNHE SUGAR CO LTD-A,China,SEHKNTL,CNH,,CNE000000LH8
COFFEEDAY,COFFEE DAY ENTERPRISES LTD,,VALUE,INR,,
JVA,COFFEE HOLDING CO INC,United States of America,NASDAQ,USD,,
COFE,COFFEESMITHS COLLECTIVE INC,United States of America,PINK,USD,,
CFX,COFIX GROUP LTD,Israel,TASE,ILS,IL0003890154,IL0003890154
CGEAF,COGECO COMMUNICATIONS INC,United States of America,PINK,USD,,
CCOI,COGENT COMMUNICATIONS HOLDIN,United States of America,NASDAQ,USD,,
CGNX,COGNEX CORP,Germany,NASDAQ,USD,,
CTSH,COGNIZANT TECH SOLUTIONS,,US Exchange,,,
0400,COGOBUY GROUP,Hong Kong,SEHK,HKD,KYG225371072,
CGS,COGSTATE LTD,Australia,ASX,AUD,AU000000CGS8,AU000000CGS8
CWBR,COHBAR INC,United States of America,NASDAQ,USD,,
CDEV,COHEN DEVELOPMENT GAS & OIL,Israel,TASE,ILS,,IL0008100104
COHR,COHERENT INC,Germany,NASDAQ,USD,,
CHRS,COHERUS BIOSCIENCES INC,United States of America,NASDAQ,USD,,
CHK,COHIBA MINERALS LTD,Australia,ASX,AUD,,AU000000CHK3
CHRT,COHORT PLC,United Kingdom,LSE,GBP,,GB00B0YD2B94
COHU,COHU INC,United States of America,NASDAQ,USD,,
ALCOI,COIL,France,SBF,EUR,BE0160342011,BE0160342011
CTBG,COIL TUBING TECHNOLOGY INC,United States of America,PINK,USD,,
CCTL,COIN CITADEL,United States of America,PINK,USD,,
CKA,COKAL LTD,Australia,ASX,AUD,AU000000CKA8,AU000000CKA8
GCL,COLABOR GROUP INC,Canada,TSE,CAD,,
567,COLEX HOLDINGS LTD,Singapore,SGX,SGD,,SG1G56870536
CFX,COLFAX CORP,United States of America,NYSE,USD,,
CFX,COLFAX CORP,United States of America,NYSE,USD,,
COLPAL,COLGATE PALMOLIVE (INDIA),India,NSE,INR,,INE259A01022
CL,COLGATE-PALMOLIVE CO,Germany,US Exchange,,US1941621039,
CBI,COLIBRI RESOURCES CORP,Canada,VENTURE,CAD,,
3908,COLLABOS CORP,Japan,TSEJ,JPY,,JP3305890000
COS,COLLAGEN SOLUTIONS PLC,United Kingdom,LSE,GBP,,
CLH,COLLECTION HOUSE LIMITED,Australia,ASX,AUD,,AU000000CLH1
PSS,COLLECTIVE BRANDS INC,,VALUE,USD,,
CLCT,COLLECTORS UNIVERSE,United States of America,NASDAQ,USD,,
COLL,COLLEGIUM PHARMACEUTICAL INC,United States of America,NASDAQ,USD,,
CCH,COLLIER CREEK HOLDINGS-A,United States of America,NYSE,USD,,
CIGI,COLLIERS INTERNATIONAL GROUP,Canada,NASDAQ,USD,,
CKF,COLLINS FOODS LTD,Australia,ASX,AUD,AU000000CKF7,AU000000CKF7
CLGN,COLLPLANT BIOTECHN-SPON ADR,United States of America,NASDAQ,USD,,
CERX,COLOMBIA ENERGY RESOURCES IN,United States of America,PINK,USD,,
CBCDQ,"COLONIAL BANCGROUP, INC. (THE) SUB",United States of America,DOLLR4LOT,USD,,
CAD,COLONIAL COAL INTERNATIONAL,Canada,VENTURE,CAD,,
CLP,COLONIAL PROPERTIES TRUST,,VALUE,USD,,
CBAN,COLONY BANKCORP,United States of America,NASDAQ,USD,,
CLNY,COLONY CAPITAL INC,United States of America,NYSE,USD,,
CLNC,COLONY CREDIT REAL ESTATE IN,United States of America,NYSE,USD,,
CBHD,COLOPLAST-B,Germany,FWB,EUR,,DK0060448595
CGFI,COLORADO GOLDFIELDS INC-A,,VALUE,USD,,
CSTU,COLORSTARS GROUP,,VALUE,USD,,
CSI,COLOSSUS MINERALS INC,,VALUE,CAD,,
1778,COLOUR LIFE SERVICES GROUP,Hong Kong,SEHK,HKD,,
CLTN,COLTENE HOLDING AG-REG,Switzerland,EBS,CHF,,CH0025343259
COLB,COLUMBIA BANKING SYSTEM INC,United States of America,NASDAQ,USD,,
CCHW,COLUMBIA CARE INC,Canada,AEQLIT,CAD,,
CLBK,COLUMBIA FINANCIAL INC,United States of America,NASDAQ,USD,,
CPGX,COLUMBIA PIPELINE GROUP INC,,US Exchange,,,
CXP,COLUMBIA PROPERTY TRUST INC,United States of America,NYSE,USD,,
COLM,COLUMBIA SPORTSWEAR CO,Germany,NASDAQ,USD,,
CRPE,COLUMBIAN ROPE CO,United States of America,PINK,USD,,
CERP,COLUMBUS ENERGY RESOURCES,United Kingdom,LSE,GBP,,
CMCO,COLUMBUS MCKINNON CORP/NY,United States of America,NASDAQ,USD,,
CGUD,COM-GUARD.COM INC,United States of America,PINK,USD,,
CMR,COMARCH SA,Poland,WSE,PLN,PLCOMAR00012,PLCOMAR00012
2342,COMBA TELECOM SYSTEMS HOLDIN,Hong Kong,SEHK,HKD,,
8190,COMBEST HOLDINGS LTD,Hong Kong,SEHK,HKD,,
CBMX,COMBIMATRIX CORP,,VALUE,USD,,
CCZ,"COMCAST 2.0% EX SB 101529""ZONE",United States of America,NYSE,USD,,
CMCSA,COMCAST CORP,,US Exchange,,,
COM,COMDIRECT BANK AG,Germany,IBIS,EUR,,
0794,COME SURE GROUP HOLDINGS LTD,Hong Kong,SEHK,HKD,,
CMPY,COMEPAY INC,United States of America,PINK,USD,,
CMA,COMERICA INC,United States of America,US Exchange,,,
COCM,COMERTON CORP,United States of America,PINK,USD,,
EZP1,COMET HOLDING AG-REG,Germany,FWB,EUR,,CH0360826991
CMU,COMET INDUSTRIES,Canada,VENTURE,CAD,,
CRL,COMET RESOURCES LIMITED,Australia,ASX,AUD,,AU000000CRL0
COI,COMET RIDGE LTD,Australia,ASX,AUD,AU000000COI3,AU000000COI3
FIX,COMFORT SYSTEMS USA INC,United States of America,NYSE,USD,,
C52,COMFORTDELGRO CORP LTD,Singapore,SGX,SGD,,SG1N31909426
CMD,COMMANDER RESOURCES LTD,Canada,VENTURE,CAD,CA2005023007,
CBWA,COMMENCEMENT BANK,United States of America,PINK,USD,,
CBSH,COMMERCE BANCSHARES INC,United States of America,NASDAQ,USD,,
CGCO,COMMERCE GROUP CORP,United States of America,PINK,USD,,
CWBK,COMMERCEWEST BANK,United States of America,PINK,USD,,
COM,COMMERZBANK AG,Switzerland,EBS,CHF,,
CDRL,COMMODORE INTERNATIONAL CORP,United States of America,PINK,USD,,
CWW,COMMONWEALTH BANK OF AUSTRAL,Germany,FWB2,EUR,,AU000000CBA7
CCG,COMMSCHOICE GROUP LTD,Australia,ASX,AUD,,AU000000CCG2
COMM,COMMSCOPE HOLDING CO INC,United States of America,NASDAQ,USD,,
JCS,COMMUNICATIONS SYSTEMS INC,United States of America,NASDAQ,USD,,
CFST,COMMUNITIES FIRST FINANCIAL,United States of America,PINK,USD,,
CBONQ,COMMUNITY BANCORP,,VALUE,USD,,
CNUN,COMMUNITY BANCSHARES INC/OH,United States of America,PINK,USD,,
