ISIN,Name_197,Name-EOD,fuzz_socre1,check-EOD
LU0607203980,INDUSTRIAL MILK CO,IMC SA,33,1
US45781Q1022,INNOVEST GLOBAL INC,Aurum Resource and Asset Management Inc,34,0
CNE000000PH9,INSIGMA TECHNOLOGY CO LTD-A,Insigma,41,1
JP3101920001,INTL CONGLOMERATE DISTRIBUTI,International Conglomerate of Distribution for Automobile Holdings Co Ltd,55,1
CA46118C1059,INTOUCH INSIGHT LTD,In-Touch Survey Systems Ltd.,43,1
DE0005859698,INVISION AG,InVision Aktiengesellschaft,58,1
US4652931084,ITALIAN FOOD & BEVERAGE CORP,Blast Applications,27,0
GB0031852162,JUBILEE METALS GROUP PLC,Jubilee Platinum,50,1
KYG8310R1276,KAISUN HOLDINGS LTD,Kaisun Energy Group Ltd,57,1
IL0005430173,KNAFAIM HOLDINGS LTD,Knafaim,52,1
JP3268200007,KURA SUSHI INC,Kura Corp,52,1
DE0005470405,LANXESS AG,LANXESS Aktiengesellschaft,56,1
AT0000644505,LENZING AG,Lenzing Aktiengesellschaft,56,1
US5301701091,LIBERTY BANCORP,Liberty Bancorp (South San Francisco CA),57,1
FR0004156297,LINEDATA SERVICES,Finatis Soci_t_ Anonyme,37,0
KYG555551095,LOGAN GROUP CO LTD,Logan Property Holdings Co Ltd,58,1
CNE100001FR6,LONGI GREEN ENERGY TECHNOL-A,Xian LONGi Silicon Materials Corp,39,1
NL0010998878,LUCAS BOLS NV,Lucas Bols Holding BV,59,1
FR0010375766,LYXOR MSCI INDIA,Multi Units France - Lyxor MSCI India UCITS ETF,52,1
AU0000MQGPB5,MACQUARIE GROUP LTD,Macquarie Group Limited FRN EXCH SUB 03/2024 AUD1000,54,1
CNE000000958,MACROLINK CULTURALTAINMENT-A,Macrolink Real Estate Co Ltd,50,1
AU000000MNS3,MAGNIS ENERGY TECHNOLOGIES L,Magnis Resources Ltd,46,1
FR0000032302,MANUTAN INTERNATIONAL,Manitou BF SA,35,0
CNE000000W54,MCC MEILI CLOUD COMPUTING -A,MCC Meili Paper Industry Co Ltd,48,1
IL0011044885,MEGA OR HOLDINGS LTD,Mega Or,52,1
GB00BSL71W47,MERCIA ASSET MANAGEMENT PLC,Mercia Technologies PLC,40,1
FR001400AJ45,MICHELIN (CGDE),Compagnie Generale des Etablissements Michelin SCA,41,1
KYG6226K1031,MOBILE INTERNET CHINA HOLDIN,China Packaging Hldg devlp Ltd,38,0
HU0000153937,MOL HUNGARIAN OIL AND GAS PL,MOL Nyrt.,22,1
US6102361010,MONRO INC,Monro Muffler Brake Inc,56,1
CNE0000000S4,MOON ENVIRONMENT TECHNOLOG-A,Yantai Moon Co Ltd,39,1
RU000A0JR4A1,MOSCOW EXCHANGE MICEX-RTS PJ,Moskovskaya Birzha OAO,32,1
PTMEN0AE0005,MOTA ENGIL SGPS SA,Ecofin Global Utilities and Infrastructure Trust plc,20,0
AU000000NAG3,NAGAMBIE RESOURCES LTD,Nagambie Mining Ltd,59,1
IL0006430156,NAPHTHA ISRAEL PETROLEUM CRP,Naphtha,40,1
US64112L2034,NET SAVINGS LINK INC,Nsav Holding Inc,44,0
ES0161560018,NH HOTEL GROUP SA,NH Hoteles,59,1
JP3641300003,NICE CORP,Nice Holdings Inc,46,1
PAL0605071A3,NORSTAR HOLDINGS INC,Norstar,52,1
US6698881090,NOVATEK PJSC-SPONS GDR REG S,Novatek DRC,51,1
US67001V1098,NOVELSTEM INTERNATIONAL CORP,Hollywood Media Co,22,0
US6294291017,NUGL INC,Coresource Strategies Inc,30,0
US67075V1008,NUVERA COMMUNICATIONS INC,New Ulm Telecom Inc,27,0
GB00B23JN426,ORACLE POWER PLC,Oracle Coalfields Plc,54,1
JP3200450009,ORIX CORP,Orix T,53,1
INE143A01010,OSWAL GREENTECH LTD,Oswal Chemicals & Fertilizers Limited,41,1
US6951271005,PACIRA BIOSCIENCES INC,Pacira Pharmaceuticals Inc,42,1
IL0006440130,PALRAM INDUSTRIES (1990) LTD,Palram,38,1
US7110401053,PEOPLES FINANCIAL SERVICES,Peoples Fin,59,1
BRPETRACNPR6,PETROBRAS - PETROLEO BRAS-PR,Petr_leo Brasileiro S.A. - Petrobras,52,1
US71668V1052,PETROLIA ENERGY CORP,Rockdale Resources Corp,51,0
US7238363003,PIONEER POWER SOLUTIONS INC,Pioneer Pow,58,1
IL0007450187,POLYGON REAL ESTATE LTD,Polygon-L,56,1
US74112D1019,PRESTIGE CONSUMER HEALTHCARE,Prestige Brand Holdings Inc,51,1
US74735M1080,QIWI PLC-SPONSORED ADR,QIWI plc,53,1
US74836R1059,QUEST PATENT RESEARCH CORP,Quest Products Corp,58,1
DE0007010803,RATIONAL AG,RATIONAL Aktiengesellschaft,58,1
DE000A1E89S5,READCREST CAPITAL AG,Enerxy AG,28,0
AU000000RCE5,RECCE PHARMACEUTICALS LTD,Recce Ltd,53,1
HK0000295763,RICH GOLDMAN HOLDINGS LTD,Neptune Group Ltd,33,0
US7785291078,ROSTELECOM-SPONSORED ADR,Rostelekom PAO DRC,57,1
BE0003741551,ROULARTA MEDIA GROUP NV,Roularta,52,1
US7809101055,ROYCE VALUE TRUST,Royce Value Closed Fund,55,1
KYG7812E1052,SANSHENG HOLDINGS GROUP CO L,Lifestyle Properties Dvlp Ltd,21,0
GB0008710799,SCHRODER ASIAN TOTAL RETURN,Schroders Investment Trusts - Schroder Asian Total Return Investment Company plc,51,1
CNE000000Q11,SDIC CAPITAL CO LTD-A,SDIC Essence Holdings Co Ltd,45,1
US8156771094,SEDONA CORP,Strattner Financial Group Corp,34,0
SE0000567729,SENSYS GATSO GROUP AB,Sensys Traffic AB,47,1
FR0011950682,SERGE FERRARI GROUP,Sergeferrari G,42,1
IT0004729759,SESA SPA,SeSa S.p.A,44,1
RU0009046510,SEVERSTAL PJSC,Public Joint Stock Company Severstal,52,1
IL0010905474,SHALAG INDUSTRIES LTD,Shalag,44,1
CNE000000XB6,SHANGHAI BELLING CO LTD-A,Sh Belling,57,1
AU000000SGM7,SIMS LTD,Sims Metal Management Ltd,48,1
DE000A0DPRE6,SIXT LEASING SE,Allane SE,42,0
US7843051043,SJW GROUP,SJW Corporation,50,1
DE000A2GS401,SOFTWARE AG,Software Aktiengesellschaft,58,1
PTSON0AM0001,SONAE,Sonae SGPS SA,56,1
IL0010923451,SPACE COMMUNICATION LTD,Space Com,56,1
US84920Y1064,SPORTSMAN'S WAREHOUSE HOLDIN,Sportsmans,53,1
HK0000174232,SPRING REAL ESTATE INVESTMEN,Spring REIT,46,1
US85512C1053,STAR GROUP LP,Star Gas Partners LP,55,1
AU000000SGP0,STOCKLAND,Stockland Corporation Ltd,53,1
US22532R1014,STRUCTURED PRODUCTS CORP,Credit Enhanced Corts Trust For Aon Capital A GIC,27,0
CA8651251081,SULLIDEN MINING CAPITAL INC,Sulliden Minerals SA,51,1
KYG8572D1135,SUNCITY GROUP HOLDINGS LTD,Sun Century Group Ltd,55,0
US87166B1026,SYNEOS HEALTH INC,INC Research Holdings Inc,43,0
INE627Z01019,TALWALKARS HEALTHCLUBS LTD,Talwalkars Better Value Fitness Limited,55,1
AU000000TAR7,TARUGA MINERALS LTD,Taruga Gold Ltd,59,1
SG1K31894969,TAT SENG PACKAGING GROUP LTD,iShares TA-35 Israel ETF USD Acc,33,0
CNE000001GL8,TCL TECHNOLOGY GROUP CORP-A,TCL Corp,46,1
ZAE000044897,TELKOM SA SOC LTD,Telkom,52,1
CA88105G1037,TERRAVEST INDUSTRIES INC,Terravest Capital Inc,58,1
CNE0000005D5,TIANJIN TEDA CO LTD-A,Tianjin Economic-technological Development Area Co Ltd,53,1
US8868851028,TILLY'S INC-CLASS A SHRS,Tillys Inc,53,1
IL0001030100,TIV TAAM HOLDINGS 1 LTD,Tiv Taam,52,1
US87258Q1085,TMM INC,T M M Inc New,50,1
KYG891951041,TONG KEE HOLDING LTD,Tong Kee,57,1
ZAE000096541,TONGAAT HULETT LTD,Tongaat,56,1
GB00BMGS6031,TRAFALGAR PROPERTY GROUP PLC,Trafalgar New Homes Plc,59,1
US89484T1043,TREMOR INTERNATIONAL LTD,Tremor Video Inc,45,1
FR0010383877,TTI,Travel Technology Interactive,19,1
US90400D1081,ULTRAGENYX PHARMACEUTICAL IN,Ultragenyx,53,1
FR0000074197,UNION TECHNOLOGIES INFORMAT,Lyxor Index Fund - Lyxor Stoxx Europe 600 Utilities UCITS ETF,26,0
DE0005489561,UNITED LABELS AG,UNITEDLABELS Aktiengesellschaft,51,1
BMG928811790,UNIVERSE ENTERTAINMENT & CULTU,Universe International Holdings Ltd,57,1
JP3835400007,VECTOR INC/SHINJUKU-KU,Vector,43,1
US92647V1070,VICTORY OILFIELD TECH INC,Victory Energy Corp,45,1
FR0000052516,VILMORIN & CIE,VIEL & Cie soci_t_ anonyme,41,0
US9297401088,WABTEC CORP,Westinghouse Air Brake Technologies Corp,31,1
CH0305951201,WALLISER KANTONALBANK-REG,Banque Cantonale du Valais,51,0
CNE000000GQ9,WANGFUJING GROUP CO LTD-A,Wangfujing,57,1
US94770G1058,WEBSAFETY INC,Veridetx Corp,23,0
US9682352003,WILHELMINA INTERNATIONAL INC,Wilhelmina,53,1
US97717W3806,WISDOMTREE TRUST WISDOMTREE,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,37,1
US97717Y8084,WSDMTREE YLD EN US ST AGG,WisdomTree Yield Enhanced U.S. Short-Term Aggregate Bond Fund,56,1
JP3990600003,YAC HOLDINGS CO LTD,Y.A.C. Co Ltd,52,1
JP3931800001,YE DIGITAL CORP,YEDIGITALCorporation,40,1
KYG9843W1125,YESTAR HEALTHCARE HOLDINGS,Yestar International Hldgs Co,40,1
US98585L1008,YIREN DIGITAL LTD - SPS ADR,Yirendai Ltd,49,1
CNE100002W92,YOUON TECHNOLOGY CO LTD-A,Changzhou Youon Pubilic Bicycle System Co Ltd,49,1
CH0276534614,ZEHNDER GROUP AG-RG,Zehnder,54,1
CNE000000FL2,ZHONGTIAN FINANCIAL GROUP -A,Zhongtian Urban Development Group Co Ltd,54,1
HU0000074844,ZWACK UNICUM RT,Zwack Unicum Likoripari es Kereskedelmi Nyrt.,51,1
