,IB-industry,IB-longName,IB-marketName,IB-ISIN,IB-Symbol
170,"Consumer, Non-cyclical",ACCURAY INC,NMS,US0043971052,ARAY
171,"Consumer, Non-cyclical",ACTINOGEN MEDICAL LTD,ACW,AU000000ACW3,ACW
172,"Consumer, Cyclical",ACCURIDE CORP,ACW,US00439T2069,ACW
173,"Consumer, Non-cyclical",ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,INE543V01017,ACEINTEG
174,"Consumer, Non-cyclical",ACELRX PHARMACEUTICALS INC,NMS,US00444T1007,ACRX
175,Technology,ACER INC-SPONSORED GDR REG S,IOBE,US0044342055,ACID
176,"Consumer, Non-cyclical",ACER THERAPEUTICS INC,SCM,US00444P1084,ACER
177,"Consumer, Non-cyclical",ACERUS PHARMACEUTICALS CORP,ASPCF,CA00444G4051,ASPCF
178,Industrial,ACESIAN PARTNERS LTD,5FW,SG1Q66923448,5FW
179,Industrial,ACHEM TECHNOLOGY CORP,1715,TW0001715001,1715
180,"Consumer, Cyclical",MIJI INTERNATIONAL HOLDINGS,1715,KYG6118R1092,1715
181,Industrial,ACHILLES CORP,5142,JP3108000005,5142
182,Technology,ADACEL TECHNOLOGIES LIMITED,ADA,AU000000ADA7,ADA
183,Financial,ADAMS PLC,ASQ1,IM00B986V543,ADA
184,"Consumer, Non-cyclical",ACHILLION PHARMACEUTICALS,XETRA,US00448Q2012,ADA
185,Industrial,ACI GLOBAL CORP,ACGJ,US0008751044,ACGJ
186,Technology,ACI WORLDWIDE INC,NMS,US0044981019,ACIW
187,Industrial,ACKERMANS & VAN HAAREN,XETRA,BE0003764785,ACKB
188,Communications,ACKROO INC,CURRENT,CA00461T2074,AKRFF
189,"Consumer, Non-cyclical",ACLARIS THERAPEUTICS INC,NMS,US00461U1051,ACRS
190,Technology,ACM RESEARCH INC-CLASS A,NMS,US00108J1097,ACMR
191,"Consumer, Non-cyclical",ACME UNITED CORP,ACU,US0048161048,ACU
192,Energy,AURORA SOLAR TECHNOLOGIES IN,ACU,CA05207J1084,ACU
193,Financial,ACUMENTIS GROUP LTD,ACU,AU0000077604,ACU
194,Industrial,ACMOS INC,6888,JP3108100003,6888
195,Industrial,FREETECH ROAD RECYCLING TECH,6888,KYG3728H1002,6888
196,Financial,ACNB CORP,SCM,US0008681092,ACNB
197,Financial,ACOM CO LTD,8572,JP3108600002,8572
198,Basic Materials,ACERINOX SA,ACX,ES0132105018,ACX
199,"Consumer, Cyclical",BET-AT-HOME.COM AG,ACX,DE000A0DNAY5,ACX
200,Technology,ACONEX LTD,ACX,AU000000ACX1,ACX
201,"Consumer, Non-cyclical",ACORDA THERAPEUTICS INC,NMS,US00484M6012,ACOR
202,"Consumer, Cyclical",AUTOCANADA INC,ACQ,CA05277B2093,ACQ
203,,ACORN CAPITAL INVESTMENT FUN,ACQ,AU000000ACQ5,ACQ
204,Communications,ACQUAZZURRA SPA,ACQ,IT0005443061,ACQ
205,Technology,ACORN ENERGY INC,ACFN,US0048481073,ACFN
206,"Consumer, Non-cyclical",ALTUS GROUP LTD,AIF,CA02215R1073,AIF
207,,APOLLO TACTICAL INCOME FUND,AIF,US0376381036,AIF
208,Technology,ACTIVEPORT GROUP LTD,ATV,AU0000171910,ATV
209,Communications,ACORN INTERNATIONAL INC-ADR,ATV,US0048542049,ATV
210,Basic Materials,AMCOL INTERNATIONAL CORP,ACO,US02341W1036,ACO
211,Financial,ACRE REALTY INVESTORS INC,AIII,US00489F1066,AIII
212,Financial,ACREAGE HOLDINGS INC-SUB,ACRGF,CA00489Y4022,ACRGF
213,Technology,THE WHY HOW DO COMPANY INC,3823,JP3108120001,3823
214,Industrial,ACROW FORMWORK AND CONSTRUCT,ACF,AU0000006124,ACF
215,Technology,ACTUAL EXPERIENCE PLC,ASQ1,GB00BJ05QC14,ACT
216,Industrial,ADURO CLEAN TECHNOLOGIES INC,ACT,CA0074081070,ACT
217,Financial,ENACT HOLDINGS INC,NMS,US29249E1091,ACT
218,"Consumer, Non-cyclical",ACTELION LTD-REG,ACT,CH0010532478,ACT
219,Technology,ACTION SA,ACT,PLACTIN00018,ACT
220,Basic Materials,ALZCHEM GROUP AG,XETRA,DE000A2YNT30,ACT
221,"Consumer, Cyclical",ACTIC GROUP AB,ATIC,SE0009269467,ATIC
222,"Consumer, Non-cyclical",ACTINIUM PHARMACEUTICALS INC,ATNM,US00507W2061,ATNM
223,Financial,AEGON N.V.-NY REG SHR,AEG,US0079241032,AEG
224,,ABSOLUTE EQUITY PERFORMANCE,AEG,AU000000AEG2,AEG
225,"Consumer, Cyclical",AEGIS BRANDS INC,AEG,CA00775H1055,AEG
226,Energy,ACTIVE ENERGY GROUP PLC,ASQ1,GB00BPG7NS80,AEG
227,"Consumer, Non-cyclical",ACTIVECARE INC,ACARQ,US0050573023,ACARQ
228,Financial,ACTIVIA PROPERTIES INC,3279,JP3047490002,3279
229,Technology,ACTIVISION BLIZZARD INC,NMS,US00507V1098,ATVI
230,Industrial,ACUITY BRANDS INC,AYI,US00508Y1029,AYI
231,Financial,A1 INVESTMENTS & RESOURCES L,AYI,AU000000AYI6,AYI
232,Energy,WORLDWIDE ENERGIES INC,AYI,US9815741064,AYI
233,Communications,ACUITYADS HOLDING INC,AT,CA00510L1067,AT
234,Utilities,ATLANTIC POWER CORP,AT,CA04878Q8636,AT
235,"Consumer, Non-cyclical",ACURA PHARMACEUTICALS INC,LIMITED,US00509L8028,ACUR
236,"Consumer, Cyclical",ACUSHNET HOLDINGS CORP,GOLF,US0050981085,GOLF
237,"Consumer, Cyclical",GOLF & CO GROUP LTD,GOLF,IL0010961485,GOLF
238,"Consumer, Non-cyclical",ACUSPHERE INC,NOINFO,US00511R8549,ACUS
239,Communications,AD SYSTEMS COMMUNICATIONS IN,ADSYQ,US00515Q1004,ADSYQ
240,"Consumer, Cyclical",ADAIRS LTD,ADH,AU000000ADH2,ADH
241,"Consumer, Non-cyclical",ADVTECH LTD,ADH,ZAE000031035,ADH
242,"Consumer, Non-cyclical",ADALTA LTD,1AD,AU0000001AD2,1AD
243,Basic Materials,ADAMA LTD-A,000553,CNE0000004V0,000553
244,Industrial,ADAMA TECHNOLOGIES CORP,ADAC,US00547Q3002,ADAC
245,"Consumer, Non-cyclical",ADAMAS PHARMACEUTICALS INC,ADMS,US00548A1060,ADMS
246,Basic Materials,ADAMERA MINERALS CORP,ADZ,CA00547Y1051,ADZ
247,"Consumer, Cyclical",ADOLFO DOMINGUEZ,ADZ,ES0106000013,ADZ
248,"Consumer, Non-cyclical",ADAMIS PHARMACEUTICALS CORP,SCM,US00547W2089,ADMP
249,,ADAMS NATURAL RESOURCES FUND,PEO,US00548F1057,PEO
250,Utilities,EXELON CORP,XETRA,US30161N1019,PEO
251,Financial,BANK PEKAO SA,PEO,PLPEKAO00016,PEO
252,"Consumer, Non-cyclical",PEOPLE CORP,PEO,CA7097621089,PEO
253,"Consumer, Cyclical",ADANI ENTERPRISES LTD,ADANIENT,INE423A01024,ADANIENT
254,Utilities,ADANI GREEN ENERGY LTD,ADANIGREE,INE364U01010,ADANIGREE
255,"Consumer, Non-cyclical",ADANI PORTS AND SPECIAL ECON,ADANIPORT,INE742F01042,ADANIPORT
256,,ADANI PORT & SPEC ECO - TENDER,ADANIPORT,INASEZ060919,ADANIPORT
257,Utilities,ADANI POWER LIMITED,ADANIPOWE,INE814H01011,ADANIPOWE
258,Utilities,ADANI TRANSMISSION LTD,ADANITRAN,INE931S01010,ADANITRAN
259,"Consumer, Non-cyclical",ADAPTIMMUNE THERAPEUTICS-ADR,NMS,US00653A1079,ADAP
260,Communications,ADAPTIVE AD SYSTEMS INC,CURRENT,US00650A1007,AATV
261,"Consumer, Non-cyclical",ADAPTIVE BIOTECHNOLOGIES,NMS,US00650F1093,ADPT
262,Communications,ADAPTIVE MEDIAS INC,NOINFO,US00652J2087,ADTM
263,Energy,ADARO ENERGY IND - UNSP ADR,LIMITED,US00652F1075,ADOOY
264,"Consumer, Cyclical",ADASTRIA CO LTD,2685,JP3856000009,2685
265,"Consumer, Non-cyclical",DIAGNOS INC,ADK,CA2524423068,ADK
266,"Consumer, Non-cyclical",ADCARE HEALTH SYSTEMS INC,ADK,US00650W3007,ADK
267,Communications,ADCORE INC,ADCO,CA00654B1040,ADCO
268,,AMERICAN RESOURCES & DEV CO,ADCO,US0289121032,ADCO
269,"Consumer, Non-cyclical",ADDENTAX GROUP CORP,CURRENT,US00653L2025,ATXG
270,"Consumer, Cyclical",EAGERS AUTOMOTIVE LTD,APE,AU000000APE3,APE
271,"Consumer, Non-cyclical",ADDEX THERAPEUTICS LTD,XETRA,CH0029850754,APE
272,Industrial,APS ENERGIA SA,APE,PLAPSEN00011,APE
273,Financial,ADDIKO BANK AG,XETRA,AT000ADDIKO0,ADKO
274,Industrial,ADDSINO CO LTD -A,000547,CNE000000DM5,000547
275,"Consumer, Non-cyclical",ADDUS HOMECARE CORP,NMS,US0067391062,ADUS
276,Communications,ADDVALUE TECHNOLOGIES LTD,A31,SG1I67883666,A31
277,"Consumer, Non-cyclical",ADECCO GROUP AG-REG,XETRA,CH0012138605,ADI1
278,,MXIM: MAXIM INTEGRATED PRODUCTS: ADJ,ADI1,,ADI1
279,Basic Materials,ADEKA CORP,4401,JP3114800000,4401
280,Basic Materials,AUSTIN METALS LTD,AYT,AU0000193682,AYT
281,,ADELAIDE-ASSET BACK YIELD TR,AYT,AU000000AYT3,AYT
282,"Consumer, Non-cyclical",ADEPTUS HEALTH INC-CLASS A,ADPTQ,US0068551003,ADPTQ
283,Industrial,ADVANCED EMISSIONS SOLUTIONS,NMS,US00770C1018,ADES
284,Technology,ADESTO TECHNOLOGIES CORP,IOTS,US00687D1019,IOTS
285,Basic Materials,ADEX MINING INC,ADE,CA0069032070,ADE
286,Financial,BITCOIN GROUP SE,XETRA,DE000A1TNV91,ADE
287,Communications,ADEVINTA ASA,ADE,NO0010844038,ADE
288,"Consumer, Non-cyclical",ADF FOODS LTD,ADFFOODS,INE982B01019,ADFFOODS
289,Basic Materials,ADF GROUP INC,DRX,CA00089N1033,DRX
290,Utilities,DRAX GROUP PLC,STMM,GB00B1VNSX38,DRX
291,Basic Materials,DIATREME RESOURCES LTD,DRX,AU000000DRX3,DRX
292,"Consumer, Non-cyclical",ELAN CORPORATION PLC,DRX,IE0003072950,DRX
293,"Consumer, Cyclical",ST GROUP FOOD INDUSTRIES HOL,DRX,SGXE58705265,DRX
294,"Consumer, Non-cyclical",ADHERA THERAPEUTICS INC,CURRENT,US00687E1091,ATRX
295,"Consumer, Non-cyclical",ADHERIUM LTD,ADR,AU000000ADR1,ADR
296,Basic Materials,ADHUNIK METALIKS LTD,ADHUNIK,INE400H01019,ADHUNIK
297,"Consumer, Non-cyclical",ADIAL PHARMACEUTICALS INC,SCM,US00688A1060,ADIL
298,,ADSLOT LTD-NEW SHARES,ADSN,AU0000217176,ADSN
299,"Consumer, Cyclical",ADIDAS AG,ADSN,DE000A1EWWW0,ADSN
300,"Consumer, Cyclical",ADIDAS AG-SPONSORED ADR,INTPREMQX,US00687A1079,ADDYY
301,"Consumer, Cyclical",ADIENT PLC,ADNT,IE00BD845X29,ADNT
302,Financial,ADIRONDACK TRUST CO SARATOGA,CURRENT,US0070141033,ADKT
303,Financial,ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL,INE674K01013,ABCAPITAL
304,Financial,ADITYA BIRLA MONEY LTD,BIRLAMONE,INE865C01022,BIRLAMONE
305,Basic Materials,ADAVALE RESOURCES LTD,ADD,AU000000ADD1,ADD
306,Basic Materials,ARCTIC STAR EXPLORATION CORP,ADD,CA03967T3091,ADD
307,"Consumer, Non-cyclical",ADMA BIOLOGICS INC,NMS,US0008991046,ADMA
308,Financial,ADLER GROUP SA,ADJ,LU1250154413,ADJ
309,Communications,ADORI AG,ADJ,DE0006655103,ADJ
310,Technology,ADOBE INC,NMS,US00724F1012,ADBE
311,Industrial,ADOR WELDING LTD,ADORWELD,INE045A01017,ADORWELD
312,Industrial,ADP,ADPN,FR0010340141,ADPN
313,"Consumer, Non-cyclical",ADT INC,ADT,US00090Q1031,ADT
314,Basic Materials,ADRIATIC METALS PLC-CDI,ADT,AU0000004772,ADT
315,Technology,ADROIT INFOTECH LTD,ADROITINF,INE737B01033,ADROITINF
316,Communications,ADSTAR INC,ADST,US00737P1049,ADST
317,"Consumer, Non-cyclical",ADTALEM GLOBAL EDUCATION INC,ATGE,US00737L1035,ATGE
318,Technology,ADTEC PLASMA TECHNOLOGY CO,6668,JP3122010006,6668
319,"Consumer, Non-cyclical",E-STAR COMMERCIAL MANAGEMENT,6668,KYG3170A1085,6668
320,Communications,ADTRAN HOLDINGS INC,NMS,US00486H1059,ADTN
321,Industrial,ADVAL TECH HOLDING AG-REG,ADVN,CH0008967926,ADVN
322,"Consumer, Cyclical",ADVANCE AUTO PARTS INC,AAP,US00751Y1064,AAP
323,"Consumer, Non-cyclical",AUSTRALIAN AGRICULTURAL PROJ,AAP,AU000000AAP1,AAP
324,Technology,ADVANCED MEDIA INC,3773,JP3122150000,3773
325,"Consumer, Non-cyclical",NNK GROUP LTD,3773,KYG654091076,3773
326,Technology,ADVANCED MICRO DEVICES,NMS,US0079031078,AMD
327,Basic Materials,ARROW MINERALS LTD,AMD,AU000000AMD2,AMD
328,Technology,ADVANCED MICRO DEVICES CDR,AMD,CA00791L1067,AMD
329,Financial,ADVANCER GLOBAL LTD,43Q,SG1CJ7000006,43Q
330,Industrial,ADVANEX INC,5998,JP3213400009,5998
331,"Consumer, Cyclical",ADVANI HOTELS & RES (INDIA),ADVANIHOT,INE199C01026,ADVANIHOT
